id,event_id,type,description
19,10006,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
20,10006,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
21,10007,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
22,10007,1,"完成活动限定的任务后，会有\n解锁角色登场。请在活动期间\n努力完成任务吧。"
23,10007,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
24,10007,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
25,10008,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
26,10008,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
27,10008,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
28,10009,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
29,10009,1,"完成活动限定的任务后，会有\n解锁角色登场。请在活动期间\n努力完成任务吧。"
30,10009,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
31,10009,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
32,10010,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
33,10010,1,"完成活动限定的任务后，会有\n解锁角色登场。请在活动期间\n努力完成任务吧。"
34,10010,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
35,10010,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
36,10010,3,"特别关卡是战斗模式会发生3个阶段式变化的关卡。\n在这里获得更加豪华的报酬和任务报酬吧。活动期间只能讨伐1只，所以，请好好研究编组进行挑战。"
37,10011,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
38,10011,1,"完成活动限定的任务后，会有\n解锁角色登场。请在活动期间\n努力完成任务吧。"
39,10011,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
40,10011,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
41,10011,3,"特别关卡是战斗模式会发生3个阶段式变化的关卡。\n在这里获得更加豪华的报酬和任务报酬吧。活动期间只能讨伐1只，所以，请好好研究编组进行挑战。"
42,10012,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
43,10012,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
44,10012,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
45,10012,3,"特别关卡是战斗模式会发生3个阶段式变化的关卡。\n在这里获得更加豪华的报酬和任务报酬吧。活动期间只能讨伐1只，所以，请好好研究编组进行挑战。"
46,10013,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
47,10013,1,"完成活动限定的任务后，会有\n解锁角色登场。请在活动期间\n努力完成任务吧。"
48,10013,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
49,10013,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
50,10013,3,"特别关卡是战斗模式会发生3个阶段式变化的关卡。\n在这里获得更加豪华的报酬和任务报酬吧。活动期间只能讨伐1只，所以，请好好研究编组进行挑战。"
51,10014,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
52,10014,1,"随着活动关卡通关，会有BOSS登场。\n使用BOSS券就可以挑战BOSS。\n击败BOSS就可以获得大量讨伐证，请尽情挑战吧。"
53,10014,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
54,10014,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
1000802001,10008,2,"为了寻找工作，杏奈前往了溪谷的洞窟。\n为了寻找古文书，七七香向着书商的货源渠道进发了。\n而流夏则接受了村民的委托，前往了村子。\n3个人分别为了自己的目的而朝着目的地出发了。"
1000802002,10008,2,"流夏将村子里的恶霸狠狠地收拾了一顿。\n和担心被报复的村民对话时，\n她意识到了一件事，在溪谷一带还存在着暗地中活跃的地方一霸。\n而另一边，前往溪谷洞窟的杏奈……"
1000802003,10008,2,"杏奈一行本打算在溪谷的洞窟里开始工作，\n却发现那里和事先听说的情况不同，到处都是无视法律的家伙，\n环境十分恶劣，还受监工压榨。\n与此同时，前往进货渠道的七七香则……"
1000802004,10008,2,"被某位贵族强行独占了古文书后，\n七七香并没能完成自己进货的目的。\n在返回路上被恶霸袭击的她，\n为了与流夏汇合而急急忙忙地踏上了前往村子的道路……"
1000802005,10008,2,"得知了溪谷的洞窟就是恶霸们的大本营，\n流夏和七七香决定和杏奈她们汇合。\n救出了好不容易才逃出来的杏奈一行人，\n大家决定先从洞窟里逃出去。"
1001002001,10010,2,"这是献上祈愿并将其净化的神殿。在此处，\n未能得偿所愿的「实体化的愿望」会袭击人类，\n因此，优衣等人接到了警卫工作的委托。\n一行人为了得到报酬发红包而接下了这份工作。"
1001002002,10010,2,"尽管因为招呼参拜的客人而忙得晕头转向，\n但大家还是互相帮助，将工作进行了下去。\n就在这时，出现了一只想要寻找父母的「实体化的愿望」，\n最终因日和莉等人以父母般的温柔相待而得到了净化。"
1001002003,10010,2,"大家渐渐适应了这份工作，这时，冒出了一只\n想要知道如何跟女朋友接吻的「实体化的愿望」。\n主人公在保护身体不适的优衣时差点亲上她，\n愿望因目睹这一幕而得到了净化。"
1001002004,10010,2,"夜幕降临，参拜的客人也随之增多，一行人变得更加忙碌起来。\n就在这时，「实体化的愿望」出现了。\n它彷徨哀叹着希望有人来帮助自己打起精神，\n怜的「拼命」应援让它得到了净化。"
1001002005,10010,2,"在净化了一个又一个愿望之后，大家得到了一段休息的时光。\n年末即将来临，这是愿望变得最为强烈的几个小时，「实体化的愿望」接踵而至，\n失控的愿望变成了黑色的雾气，笼罩了整座神殿。"
