chara_id,name,love_level,scale,position_x,position_y,voice_id_1,face_1,serif_1,voice_id_2,face_2,serif_2,voice_id_3,face_3,serif_3
1020,"茜美美",2,1.5,0,0,0,1,"唔哎……？\n太难的事情\n美美不懂……",0,1,"啊！\n哥哥~\n等等我~",0,1,"不要抛下美美~"
1021,"栗林胡桃",2,1.5,0,0,0,1,"我……我叫……\n栗……林……胡桃……",0,1,"啊……\n唔哎……",0,1,"唔哎哎哎哎哎……"
1022,"风宫依里",2,1.4,0,0,0,1,"我叫风宫依里。\n啊啊啊啊啊！",0,1,"谢谢你为了我，",0,1,"安排出这么宝贵的时间！"
1023,"北条绫音",2,1.5,0,0,0,1,"我叫绫音！\n我和噗吉会一同追随你！",0,1,"哥哥想去哪里？\n诶？",0,1,"我想去这边\n快点快点——！"
1025,"天野铃莓",2,1.4,0,0,0,1,"我……我……\n我叫天野铃莓！",0,1,"小、小女子不才\n请与小女子喜结……咦，",0,1,"好像不对……\n啊啊啊对不起！"
1027,"仓石惠理子",2,1.4,0,0,0,1,"……呵呵……我是\n……仓石惠理子……",0,1,"是你命中注定的……\n伴侣……",0,1,"我是绝对……\n不会离开你的……！！"
1028,"佐佐木咲恋",2,1.4,0,0,0,1,"我是佐佐木咲恋。\n你不觉得\n世界上有太多徒劳无功的事了吗？",0,1,"如果可以省下徒劳的工夫，\n就能过上更加悠闲的生活！",0,1,"……你说对吧？？"
1029,"樱井望",2,1.4,0,0,0,1,"我叫樱井望！\n请多多指教",0,1,"唔……\n你居然不认识我？！",0,1,"啊哈哈，\n看来我还差得远啊~"
1030,"妮侬·朱柏尔",2,1.4,0,0,0,1,"咚咚咚！",0,1,"幸会，\n我叫妮侬·朱柏尔！",0,1,"诸君，\n和我一统天下吧！"
1031,"上喜忍",2,1.4,0,0,0,1,"我叫上喜忍。\n手上的骷髅是我的父亲。",0,1,"然后我身边的是……\n诶，你看不见吗？",0,1,"奇怪了……"
1033,"野户真阳",2,1.5,0,0,0,1,"我的目标是\n成为超级搞笑艺人哟！",0,1,"但是\n却缺少一个条件……",0,1,"没错，\n就是跟我说相声的另一个人……！"
1034,"绫濑由加莉",2,1.4,0,0,0,1,"你好……我是……绫濑由加莉……\n啊……对不起！",0,1,"我有些紧张……",0,1,"我\n我先去喝一杯……！"
1036,"冰川镜华",2,1.5,0,0,0,1,"我是……冰川镜华",0,1,"因为不能和陌生人说话",0,1,"所以……\n我们的对话到此为止！"
1038,"柏崎栞",2,1.4,0,0,0,1,"我是……柏崎栞。",0,1,"……啊，闹钟响了。",0,1,"我身体不好，\n每30分钟\n就必须休息。"
1040,"双叶碧",2,1.4,0,0,0,1,"我、我叫双叶碧。",0,1,"我一个朋友也没有……",0,1,"野花，\n是我唯一的倾诉对象。"
1042,"三角千歌",2,1.4,0,0,0,1,"我叫三角千歌。",0,1,"我一直希望……",0,1,"自己的歌声，\n可以带给所有人幸福……"
1043,"安芸真琴",2,1.4,0,0,0,1,"我叫安芸真琴。",0,1,"哈？\n你也是这家伙的同伴吗？",0,1,"对、对不起，我不该怀疑你的……"
1044,"伊莉亚·奥恩斯坦",2,1.4,0,0,0,1,"妾身乃黑夜的统治者！",0,1,"世间生灵皆听命！",0,1,"尽管臣服于\n妾身伟大的力量之下吧！\n哈哈哈！"
1045,"远见空花",2,1.4,0,0,0,1,"然后骑士对妖精做出粗暴的……",0,1,"唔呼呼呼呼……哈！",0,1,"你、你找空花做什么！？"
1046,"宫坂珠希",2,1.4,0,0,0,1,"宫坂珠希喵♪\n猫咪真好啊喵？",0,1,"无拘无束♪\n睡醒就玩耍，吃完就打架……",0,1,"唔~\n猫咪是最棒的喵~♪"
1048,"大神美冬",2,1.4,0,0,0,1,"我是大神美冬！",0,1,"马上开始攻略关卡吧……",0,1,"……啊\n得去打工了！\n待会儿见！"
1049,"星野静流",2,1.4,0,0,0,1,"我是星野静流哦！",0,1,"不管是攻略关卡还是战斗\n打扫还是洗衣服",0,1,"通通~\n包在姐姐身上！"
1050,"玉泉美咲",2,1.5,0,0,0,1,"我叫玉泉美咲。",0,1,"如你所见\n是位性感的美少女",0,1,"我可是学校里\n备受瞩目的偶像哦♪"
1052,"莉玛",2,1.4,0,0,0,1,"？？？",0,1,"？？？？",0,1,"？？？？"
1053,"莫妮卡·拜斯温特",2,1.5,0,0,0,1,"我是莫妮卡·拜斯温特。",0,1,"休想用糖果\n来收买我……",0,1,"既、既然你这么说\n那我就只好收下了"
1058,"佩可莉姆",2,1.5,0,0,0,1,"我是莫妮卡·拜斯温特。",0,1,"休想用糖果\n来收买我……",0,1,"既、既然你这么说\n那我就只好收下了"
1059,"可可萝",2,1.5,0,0,0,1,"我是莫妮卡·拜斯温特。",0,1,"休想用糖果\n来收买我……",0,1,"既、既然你这么说\n那我就只好收下了"
1060,"凯露",2,1.5,0,0,0,1,"我是莫妮卡·拜斯温特。",0,1,"休想用糖果\n来收买我……",0,1,"既、既然你这么说\n那我就只好收下了"
