id,mission_reward_id,reward_type,reward_id,reward_num
20008006,72008003,2,22002,1
20008007,72008004,8,91002,30
20008008,72008004,2,22002,1
20008009,72008005,8,91002,30
20008010,72008005,2,22002,1
20008011,72008006,8,91002,30
20008012,72008006,2,22002,1
20008013,72008007,8,91002,30
20008014,72008007,2,22002,1
20008015,72008008,8,91002,30
20008016,72008008,2,22002,1
20008017,72008009,8,91002,30
20008018,72008009,2,22002,1
20008019,72008010,8,91002,30
20008020,72008010,2,22002,1
20008021,72008011,8,91002,30
20008022,72008011,2,22002,1
20008023,72008012,8,91002,30
20008024,72008012,2,22002,1
20008025,72008013,8,91002,30
20008026,72008013,2,22002,1
20008027,72008014,8,91002,30
20008028,72008014,2,22002,1
20008029,72008015,8,91002,200
20008030,72008015,2,22002,1
20008031,72008016,8,91002,60
20008032,72008016,2,22002,2
20008033,72008017,8,91002,60
20008034,72008017,2,22002,2
20008035,72008018,8,91002,60
20008036,72008018,2,22002,2
20008037,72008019,8,91002,60
20008038,72008019,2,22002,2
20008039,72008020,8,91002,300
20008040,72008020,2,22002,2
20008041,72008021,2,31009,5
20008042,72008021,2,31051,5
20008043,72008022,2,31009,5
20008044,72008022,2,31051,5
20008045,72008023,2,31009,10
20008046,72008023,2,31051,10
20009001,72009001,8,91002,30
20009002,72009001,2,22002,1
20009003,72009002,8,91002,30
20009004,72009002,2,22002,1
20009005,72009003,8,91002,30
20009006,72009003,2,22002,1
20009007,72009004,8,91002,30
20009008,72009004,2,22002,1
20009009,72009005,8,91002,30
20009010,72009005,2,22002,1
20009011,72009006,8,91002,30
20009012,72009006,2,22002,1
20009013,72009007,8,91002,30
20009014,72009007,2,22002,1
20009015,72009008,8,91002,30
20009016,72009008,2,22002,1
20009017,72009009,8,91002,30
20009018,72009009,2,22002,1
20009019,72009010,8,91002,30
20009020,72009010,2,22002,1
20009021,72009011,8,91002,30
20009022,72009011,2,22002,1
20009023,72009012,8,91002,30
20009024,72009012,2,22002,1
20009025,72009013,8,91002,30
20009026,72009013,2,22002,1
20009027,72009014,8,91002,30
20009028,72009014,2,22002,1
20009029,72009015,8,91002,200
20009030,72009015,2,22002,1
20009031,72009016,8,91002,60
20009032,72009016,2,22002,2
20009033,72009017,8,91002,60
20009034,72009017,2,22002,2
20009035,72009018,8,91002,60
20009036,72009018,2,22002,2
20009037,72009019,8,91002,60
20009038,72009019,2,22002,2
20009039,72009020,8,91002,300
20009040,72009020,2,22002,2
20009041,72009021,1,108501,1
20009042,72009022,2,31085,10
20009043,72009022,2,31029,10
20009044,72009023,2,31085,10
20009045,72009023,2,31029,10
20010001,72010001,8,91002,30
20010002,72010001,2,22002,1
20010003,72010002,8,91002,30
20010004,72010002,2,22002,1
20010005,72010003,8,91002,30
20010006,72010003,2,22002,1
20010007,72010004,8,91002,30
20010008,72010004,2,22002,1
20010009,72010005,8,91002,30
20010010,72010005,2,22002,1
20010011,72010006,8,91002,30
20010012,72010006,2,22002,1
20010013,72010007,8,91002,30
20010014,72010007,2,22002,1
20010015,72010008,8,91002,30
20010016,72010008,2,22002,1
20010017,72010009,8,91002,30
20010018,72010009,2,22002,1
20010019,72010010,8,91002,30
20010020,72010010,2,22002,1
20010021,72010011,8,91002,30
20010022,72010011,2,22002,1
20010023,72010012,8,91002,30
20010024,72010012,2,22002,1
20010025,72010013,8,91002,30
20010026,72010013,2,22002,1
20010027,72010014,8,91002,30
20010028,72010014,2,22002,1
20010029,72010015,8,91002,200
20010030,72010015,2,22002,1
20010031,72010016,8,91002,60
20010032,72010016,2,22002,2
20010033,72010017,8,91002,60
20010034,72010017,2,22002,2
20010035,72010018,8,91002,60
20010036,72010018,2,22002,2
20010037,72010019,8,91002,60
20010038,72010019,2,22002,2
20010039,72010020,8,91002,300
20010040,72010020,2,22002,2
20010041,72010021,1,108901,1
20010042,72010022,2,31089,10
20010043,72010022,2,31002,10
20010044,72010023,2,31089,10
20010045,72010023,2,31002,10
20011001,72011001,8,91002,30
20011002,72011001,2,22002,1
20011003,72011002,8,91002,30
20011004,72011002,2,22002,1
20011005,72011003,8,91002,30
20011006,72011003,2,22002,1
20011007,72011004,8,91002,30
20011008,72011004,2,22002,1
20011009,72011005,8,91002,30
20011010,72011005,2,22002,1
20011011,72011006,8,91002,30
20011012,72011006,2,22002,1
20011013,72011007,8,91002,30
20011014,72011007,2,22002,1
20011015,72011008,8,91002,30
20011016,72011008,2,22002,1
20011017,72011009,8,91002,30
20011018,72011009,2,22002,1
20011019,72011010,8,91002,30
20011020,72011010,2,22002,1
20011021,72011011,8,91002,30
20011022,72011011,2,22002,1
20011023,72011012,8,91002,30
20011024,72011012,2,22002,1
20011025,72011013,8,91002,30
20011026,72011013,2,22002,1
20011027,72011014,8,91002,30
20011028,72011014,2,22002,1
20011029,72011015,8,91002,200
20011030,72011015,2,22002,1
20011031,72011016,8,91002,60
20011032,72011016,2,22002,2
20011033,72011017,8,91002,60
20011034,72011017,2,22002,2
20011035,72011018,8,91002,60
20011036,72011018,2,22002,2
20011037,72011019,8,91002,60
20011038,72011019,2,22002,2
20011039,72011020,8,91002,300
20011040,72011020,2,22002,2
20011041,72011021,1,109001,1
20011042,72011022,2,31090,10
20011043,72011022,2,31011,10
20011044,72011023,2,31090,10
20011045,72011023,2,31011,10
20012001,72012001,8,91002,30
20012002,72012001,2,22002,1
20012003,72012002,8,91002,30
20012004,72012002,2,22002,1
20012005,72012003,8,91002,30
20012006,72012003,2,22002,1
20012007,72012004,8,91002,30
20012008,72012004,2,22002,1
20012009,72012005,8,91002,30
20012010,72012005,2,22002,1
20012011,72012006,8,91002,30
20012012,72012006,2,22002,1
20012013,72012007,8,91002,30
20012014,72012007,2,22002,1
20012015,72012008,8,91002,30
20012016,72012008,2,22002,1
20012017,72012009,8,91002,30
20012018,72012009,2,22002,1
20012019,72012010,8,91002,30
20012020,72012010,2,22002,1
20012021,72012011,8,91002,30
20012022,72012011,2,22002,1
20012023,72012012,8,91002,30
20012024,72012012,2,22002,1
20012025,72012013,8,91002,30
20012026,72012013,2,22002,1
20012027,72012014,8,91002,30
20012028,72012014,2,22002,1
20012029,72012015,8,91002,200
20012030,72012015,2,22002,1
20012031,72012016,8,91002,60
20012032,72012016,2,22002,2
20012033,72012017,8,91002,60
20012034,72012017,2,22002,2
20012035,72012018,8,91002,60
20012036,72012018,2,22002,2
20012037,72012019,8,91002,60
20012038,72012019,2,22002,2
20012039,72012020,8,91002,300
20012040,72012020,2,22002,2
20012041,72012021,2,31043,5
20012042,72012021,2,31008,5
20012043,72012022,2,31043,5
20012044,72012022,2,31008,5
20012045,72012023,2,31043,10
20012046,72012023,2,31008,10
20013001,72013001,8,91002,30
20013002,72013001,2,22002,1
20013003,72013002,8,91002,30
20013004,72013002,2,22002,1
20013005,72013003,8,91002,30
20013006,72013003,2,22002,1
20013007,72013004,8,91002,30
20013008,72013004,2,22002,1
20013009,72013005,8,91002,30
20013010,72013005,2,22002,1
20013011,72013006,8,91002,30
20013012,72013006,2,22002,1
20013013,72013007,8,91002,30
20013014,72013007,2,22002,1
20013015,72013008,8,91002,30
20013016,72013008,2,22002,1
20013017,72013009,8,91002,30
20013018,72013009,2,22002,1
20013019,72013010,8,91002,30
20013020,72013010,2,22002,1
20013021,72013011,8,91002,30
20013022,72013011,2,22002,1
20013023,72013012,8,91002,30
20013024,72013012,2,22002,1
20013025,72013013,8,91002,30
20013026,72013013,2,22002,1
20013027,72013014,8,91002,30
20013028,72013014,2,22002,1
20013029,72013015,8,91002,200
20013030,72013015,2,22002,1
20013031,72013016,8,91002,60
20013032,72013016,2,22002,2
20013033,72013017,8,91002,60
20013034,72013017,2,22002,2
20013035,72013018,8,91002,60
20013036,72013018,2,22002,2
20013037,72013019,8,91002,60
20013038,72013019,2,22002,2
20013039,72013020,8,91002,300
20013040,72013020,2,22002,2
20013041,72013021,1,109301,1
20013042,72013022,2,31093,10
20013043,72013022,2,31018,10
20013044,72013023,2,31093,10
20013045,72013023,2,31018,10
20014001,72014001,8,91002,30
20014002,72014001,2,22002,1
20014003,72014002,8,91002,30
20014004,72014002,2,22002,1
20014005,72014003,8,91002,30
20014006,72014003,2,22002,1
20014007,72014004,8,91002,30
20014008,72014004,2,22002,1
20014009,72014005,8,91002,30
20014010,72014005,2,22002,1
20014011,72014006,8,91002,30
20014012,72014006,2,22002,1
20014013,72014007,8,91002,30
20014014,72014007,2,22002,1
20014015,72014008,8,91002,30
20014016,72014008,2,22002,1
20014017,72014009,8,91002,30
20014018,72014009,2,22002,1
20014019,72014010,8,91002,30
20014020,72014010,2,22002,1
20014021,72014011,8,91002,30
20014022,72014011,2,22002,1
20014023,72014012,8,91002,30
20014024,72014012,2,22002,1
20014025,72014013,8,91002,30
20014026,72014013,2,22002,1
20014027,72014014,8,91002,30
20014028,72014014,2,22002,1
20014029,72014015,8,91002,200
20014030,72014015,2,22002,1
20014031,72014016,8,91002,60
20014032,72014016,2,22002,2
20014033,72014017,8,91002,60
20014034,72014017,2,22002,2
20014035,72014018,8,91002,60
20014036,72014018,2,22002,2
20014037,72014019,8,91002,60
20014038,72014019,2,22002,2
20014039,72014020,8,91002,300
20014040,72014020,2,22002,2
20014041,72014021,2,31053,5
20014042,72014021,2,31045,5
20014043,72014022,2,31053,5
20014044,72014022,2,31045,5
20014045,72014023,2,31053,10
20014046,72014023,2,31045,10
20015001,72015001,8,91002,30
20015002,72015001,2,22002,1
20015003,72015002,8,91002,30
20015004,72015002,2,22002,1
20015005,72015003,8,91002,30
20015006,72015003,2,22002,1
20015007,72015004,8,91002,30
20015008,72015004,2,22002,1
20015009,72015005,8,91002,30
20015010,72015005,2,22002,1
20015011,72015006,8,91002,30
20015012,72015006,2,22002,1
20015013,72015007,8,91002,30
20015014,72015007,2,22002,1
20015015,72015008,8,91002,30
20015016,72015008,2,22002,1
20015017,72015009,8,91002,30
20015018,72015009,2,22002,1
20015019,72015010,8,91002,30
20015020,72015010,2,22002,1
20015021,72015011,8,91002,30
20015022,72015011,2,22002,1
20015023,72015012,8,91002,30
20015024,72015012,2,22002,1
20015025,72015013,8,91002,30
20015026,72015013,2,22002,1
20015027,72015014,8,91002,30
20015028,72015014,2,22002,1
20015029,72015015,8,91002,200
20015030,72015015,2,22002,1
20015031,72015016,8,91002,60
20015032,72015016,2,22002,2
20015033,72015017,8,91002,60
20015034,72015017,2,22002,2
20015035,72015018,8,91002,60
20015036,72015018,2,22002,2
20015037,72015019,8,91002,60
20015038,72015019,2,22002,2
20015039,72015020,8,91002,300
20015040,72015020,2,22002,2
20015041,72015021,1,110101,1
20015042,72015022,2,31101,10
20015043,72015022,2,31050,10
20015044,72015023,2,31101,10
20015045,72015023,2,31050,10
20016001,72016001,8,91002,30
20016002,72016001,2,22002,1
20016003,72016002,8,91002,30
20016004,72016002,2,22002,1
20016005,72016003,8,91002,30
20016006,72016003,2,22002,1
20016007,72016004,8,91002,30
20016008,72016004,2,22002,1
20016009,72016005,8,91002,30
20016010,72016005,2,22002,1
20016011,72016006,8,91002,30
20016012,72016006,2,22002,1
20016013,72016007,8,91002,30
20016014,72016007,2,22002,1
20016015,72016008,8,91002,30
20016016,72016008,2,22002,1
20016017,72016009,8,91002,30
20016018,72016009,2,22002,1
20016019,72016010,8,91002,30
20016020,72016010,2,22002,1
20016021,72016011,8,91002,30
20016022,72016011,2,22002,1
20016023,72016012,8,91002,30
20016024,72016012,2,22002,1
20016025,72016013,8,91002,30
20016026,72016013,2,22002,1
20016027,72016014,8,91002,30
20016028,72016014,2,22002,1
20016029,72016015,8,91002,200
20016030,72016015,2,22002,1
20016031,72016016,8,91002,60
20016032,72016016,2,22002,2
20016033,72016017,8,91002,60
20016034,72016017,2,22002,2
20016035,72016018,8,91002,60
20016036,72016018,2,22002,2
20016037,72016019,8,91002,60
20016038,72016019,2,22002,2
20016039,72016020,8,91002,300
20016040,72016020,2,22002,2
20016041,72016021,1,110501,1
20016042,72016022,2,31105,10
20016043,72016022,2,31014,10
20016044,72016023,2,31105,10
20016045,72016023,2,31014,10
20016046,72016024,7,1704,1
20016047,72016025,7,1705,1
20016048,72016026,7,1706,1
20016049,72016027,7,1707,1
20017001,72017001,8,91002,30
20017002,72017001,2,22002,1
20017003,72017002,8,91002,30
20017004,72017002,2,22002,1
20017005,72017003,8,91002,30
20017006,72017003,2,22002,1
20017007,72017004,8,91002,30
20017008,72017004,2,22002,1
20017009,72017005,8,91002,30
20017010,72017005,2,22002,1
20017011,72017006,8,91002,30
20017012,72017006,2,22002,1
20017013,72017007,8,91002,30
20017014,72017007,2,22002,1
20017015,72017008,8,91002,30
20017016,72017008,2,22002,1
20017017,72017009,8,91002,30
20017018,72017009,2,22002,1
20017019,72017010,8,91002,30
20017020,72017010,2,22002,1
20017021,72017011,8,91002,30
20017022,72017011,2,22002,1
20017023,72017012,8,91002,30
20017024,72017012,2,22002,1
20017025,72017013,8,91002,30
20017026,72017013,2,22002,1
20017027,72017014,8,91002,30
20017028,72017014,2,22002,1
20017029,72017015,8,91002,200
20017030,72017015,2,22002,1
20017031,72017016,8,91002,60
20017032,72017016,2,22002,2
20017033,72017017,8,91002,60
20017034,72017017,2,22002,2
20017035,72017018,8,91002,60
20017036,72017018,2,22002,2
20017037,72017019,8,91002,60
20017038,72017019,2,22002,2
20017039,72017020,8,91002,300
20017040,72017020,2,22002,2
20017041,72017021,2,31056,5
20017042,72017021,2,31040,5
20017043,72017022,2,31056,5
20017044,72017022,2,31040,5
20017045,72017023,2,31056,10
20017046,72017023,2,31040,10
20018001,72018001,8,91002,30
20018002,72018001,2,22002,1
20018003,72018002,8,91002,30
20018004,72018002,2,22002,1
20018005,72018003,8,91002,30
20018006,72018003,2,22002,1
20018007,72018004,8,91002,30
20018008,72018004,2,22002,1
20018009,72018005,8,91002,30
20018010,72018005,2,22002,1
20018011,72018006,8,91002,30
20018012,72018006,2,22002,1
20018013,72018007,8,91002,30
20018014,72018007,2,22002,1
20018015,72018008,8,91002,30
20018016,72018008,2,22002,1
20018017,72018009,8,91002,30
20018018,72018009,2,22002,1
20018019,72018010,8,91002,30
20018020,72018010,2,22002,1
20018021,72018011,8,91002,30
20018022,72018011,2,22002,1
20018023,72018012,8,91002,30
20018024,72018012,2,22002,1
20018025,72018013,8,91002,30
20018026,72018013,2,22002,1
20018027,72018014,8,91002,30
20018028,72018014,2,22002,1
20018029,72018015,8,91002,200
20018030,72018015,2,22002,1
20018031,72018016,8,91002,60
20018032,72018016,2,22002,2
20018033,72018017,8,91002,60
20018034,72018017,2,22002,2
20018035,72018018,8,91002,60
20018036,72018018,2,22002,2
20018037,72018019,8,91002,60
20018038,72018019,2,22002,2
20018039,72018020,8,91002,300
20018040,72018020,2,22002,2
20018041,72018021,1,111201,1
20018042,72018022,2,31112,10
20018043,72018022,2,31036,10
20018044,72018023,2,31112,10
20018045,72018023,2,31036,10
20019001,72019001,8,91002,30
20019002,72019001,2,22002,1
20019003,72019002,8,91002,30
20019004,72019002,2,22002,1
20019005,72019003,8,91002,30
20019006,72019003,2,22002,1
20019007,72019004,8,91002,30
20019008,72019004,2,22002,1
20019009,72019005,8,91002,30
20019010,72019005,2,22002,1
20019011,72019006,8,91002,30
20019012,72019006,2,22002,1
20019013,72019007,8,91002,30
20019014,72019007,2,22002,1
20019015,72019008,8,91002,30
20019016,72019008,2,22002,1
20019017,72019009,8,91002,30
20019018,72019009,2,22002,1
20019019,72019010,8,91002,30
20019020,72019010,2,22002,1
20019021,72019011,8,91002,30
20019022,72019011,2,22002,1
20019023,72019012,8,91002,30
20019024,72019012,2,22002,1
20019025,72019013,8,91002,30
20019026,72019013,2,22002,1
20019027,72019014,8,91002,30
20019028,72019014,2,22002,1
20019029,72019015,8,91002,200
20019030,72019015,2,22002,1
20019031,72019016,8,91002,60
20019032,72019016,2,22002,2
20019033,72019017,8,91002,60
20019034,72019017,2,22002,2
20019035,72019018,8,91002,60
20019036,72019018,2,22002,2
20019037,72019019,8,91002,60
20019038,72019019,2,22002,2
20019039,72019020,8,91002,300
20019040,72019020,2,22002,2
20019041,72019021,2,31037,5
20019042,72019021,2,31005,5
20019043,72019022,2,31037,5
20019044,72019022,2,31005,5
20019045,72019023,2,31037,10
20019046,72019023,2,31005,10
20020001,72020001,8,91002,30
20020002,72020001,2,22002,1
20020003,72020002,8,91002,30
20020004,72020002,2,22002,1
20020005,72020003,8,91002,30
20020006,72020003,2,22002,1
20020007,72020004,8,91002,30
20020008,72020004,2,22002,1
20020009,72020005,8,91002,30
20020010,72020005,2,22002,1
20020011,72020006,8,91002,30
20020012,72020006,2,22002,1
20020013,72020007,8,91002,30
20020014,72020007,2,22002,1
20020015,72020008,8,91002,30
20020016,72020008,2,22002,1
20020017,72020009,8,91002,30
20020018,72020009,2,22002,1
20020019,72020010,8,91002,30
20020020,72020010,2,22002,1
20020021,72020011,8,91002,30
20020022,72020011,2,22002,1
20020023,72020012,8,91002,30
20020024,72020012,2,22002,1
20020025,72020013,8,91002,30
20020026,72020013,2,22002,1
20020027,72020014,8,91002,30
20020028,72020014,2,22002,1
20020029,72020015,8,91002,200
20020030,72020015,2,22002,1
20020031,72020016,8,91002,60
20020032,72020016,2,22002,2
20020033,72020017,8,91002,60
20020034,72020017,2,22002,2
20020035,72020018,8,91002,60
20020036,72020018,2,22002,2
20020037,72020019,8,91002,60
20020038,72020019,2,22002,2
20020039,72020020,8,91002,300
20020040,72020020,2,22002,2
20020041,72020021,1,111601,1
20020042,72020022,2,31116,10
20020043,72020022,2,31044,10
20020044,72020023,2,31116,10
20020045,72020023,2,31044,10
20020046,72020024,7,2205,1
20021001,72021001,8,91002,30
20021002,72021001,2,22002,1
20021003,72021002,8,91002,30
20021004,72021002,2,22002,1
20021005,72021003,8,91002,30
20021006,72021003,2,22002,1
20021007,72021004,8,91002,30
20021008,72021004,2,22002,1
20021009,72021005,8,91002,30
20021010,72021005,2,22002,1
20021011,72021006,8,91002,30
20021012,72021006,2,22002,1
20021013,72021007,8,91002,30
20021014,72021007,2,22002,1
20021015,72021008,8,91002,30
20021016,72021008,2,22002,1
