unit_id,unit_name,bg_id,face_type
121331,"栗林 胡桃",510300,2
121431,"玉泉 美咲",510290,4
121531,"石桥 步美",510221,2
121631,"一之濑 祈梨",510030,4
121931,"柊 杏奈",510300,4
122031,"上喜 忍",510350,4
122131,"双叶 碧",510390,2
122231,"绫濑 由加莉",510070,2
170131,"环奈",510120,4
170231,"环奈",510360,4
180131,"春咲 日和莉",510121,4
180231,"草野 优衣",510350,2
180331,"士条 怜",510100,2
180431,"尤丝蒂亚娜・冯・阿斯特莱亚",510350,4
180531,"枣 可萝",510100,2
180631,"百地 希留耶",510351,2
180731,"柏崎 初音&柏崎 栞",510070,2
180831,"穗高 未奏希&茜 美美&冰川 镜华",510400,2
180931,"藤堂 秋乃&佐佐木 咲恋",510202,2
