id,clan_battle_id,period,rank_from,rank_to,ranking_bonus_group,reward_type_1,reward_id_1,reward_num_1,reward_type_2,reward_id_2,reward_num_2,reward_type_3,reward_id_3,reward_num_3,reward_type_4,reward_id_4,reward_num_4,reward_type_5,reward_id_5,reward_num_5
113,1011,1,101,250,0,8,91002,4000,2,90006,4000,2,31043,20,0,0,0,0,0,0
114,1011,1,251,500,0,8,91002,3500,2,90006,3500,2,31043,18,0,0,0,0,0,0
115,1011,1,501,1000,0,8,91002,3000,2,90006,3000,2,31043,16,0,0,0,0,0,0
116,1011,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31043,14,0,0,0,0,0,0
117,1011,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31043,12,0,0,0,0,0,0
118,1011,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31043,10,0,0,0,0,0,0
119,1011,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31043,8,0,0,0,0,0,0
120,1011,1,10001,-1,0,8,91002,500,2,90006,500,2,31043,5,0,0,0,0,0,0
121,1012,1,1,20,0,8,91002,5000,2,90006,5000,2,31022,30,0,0,0,0,0,0
122,1012,1,21,100,0,8,91002,4500,2,90006,4500,2,31022,25,0,0,0,0,0,0
123,1012,1,101,250,0,8,91002,4000,2,90006,4000,2,31022,20,0,0,0,0,0,0
124,1012,1,251,500,0,8,91002,3500,2,90006,3500,2,31022,18,0,0,0,0,0,0
125,1012,1,501,1000,0,8,91002,3000,2,90006,3000,2,31022,16,0,0,0,0,0,0
126,1012,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31022,14,0,0,0,0,0,0
127,1012,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31022,12,0,0,0,0,0,0
128,1012,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31022,10,0,0,0,0,0,0
129,1012,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31022,8,0,0,0,0,0,0
130,1012,1,10001,-1,0,8,91002,500,2,90006,500,2,31022,5,0,0,0,0,0,0
131,1013,1,1,20,0,8,91002,5000,2,90006,5000,2,31042,30,0,0,0,0,0,0
132,1013,1,21,100,0,8,91002,4500,2,90006,4500,2,31042,25,0,0,0,0,0,0
133,1013,1,101,250,0,8,91002,4000,2,90006,4000,2,31042,20,0,0,0,0,0,0
134,1013,1,251,500,0,8,91002,3500,2,90006,3500,2,31042,18,0,0,0,0,0,0
135,1013,1,501,1000,0,8,91002,3000,2,90006,3000,2,31042,16,0,0,0,0,0,0
136,1013,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31042,14,0,0,0,0,0,0
137,1013,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31042,12,0,0,0,0,0,0
138,1013,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31042,10,0,0,0,0,0,0
139,1013,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31042,8,0,0,0,0,0,0
140,1013,1,10001,-1,0,8,91002,500,2,90006,500,2,31042,5,0,0,0,0,0,0
