id,mission_reward_id,reward_type,reward_id,reward_num,icon_type
189,56011140,15,10201140,1,1002
190,56011141,15,10201141,1,1003
191,56011141,8,91002,50,0
192,56011142,15,10201142,1,1001
193,56011143,15,10201143,1,1002
194,56011144,15,10201144,1,1003
195,56011144,8,91002,50,0
196,56011145,15,10201145,1,1001
197,56011146,15,10201146,1,1002
198,56011147,15,10201147,1,1003
199,56011147,8,91002,50,0
200,56011148,15,10201148,1,1001
201,56011149,15,10201149,1,1002
202,56011150,15,10201150,1,1003
203,56011150,8,91002,50,0
204,56011151,15,10201151,1,1001
205,56011152,15,10201152,1,1002
206,56011153,15,10201153,1,1003
207,56011153,8,91002,50,0
208,56011154,15,10201154,1,1001
209,56011155,15,10201155,1,1002
210,56011156,15,10201156,1,1003
211,56011156,8,91002,50,0
212,56011157,15,10201157,1,1001
213,56011158,15,10201158,1,1002
214,56011159,15,10201159,1,1003
215,56011159,8,91002,50,0
216,56011160,15,10201160,1,1001
217,56011161,15,10201161,1,1002
218,56011162,15,10201162,1,1003
219,56011162,8,91002,50,0
220,56011163,15,10201163,1,1001
221,56011164,15,10201164,1,1002
222,56011165,15,10201165,1,1003
223,56011165,8,91002,50,0
224,56011166,15,10201166,1,1001
225,56011167,15,10201167,1,1002
226,56011168,15,10201168,1,1003
227,56011168,8,91002,50,0
228,56011169,15,10201169,1,1001
229,56011170,15,10201170,1,1002
230,56011171,15,10201171,1,1003
231,56011171,8,91002,50,0
232,56011172,15,10201172,1,1001
233,56011173,15,10201173,1,1002
234,56011174,15,10201174,1,1003
235,56011174,8,91002,50,0
236,56011175,15,10201175,1,1001
237,56011176,15,10201176,1,1002
238,56011177,15,10201177,1,1003
239,56011177,8,91002,50,0
240,56011178,15,10201178,1,1001
241,56011179,15,10201179,1,1002
242,56011180,15,10201180,1,1003
243,56011180,8,91002,50,0
244,56011181,15,10201181,1,1001
245,56011182,15,10201182,1,1002
246,56011183,15,10201183,1,1003
247,56011183,8,91002,50,0
248,56011184,15,10201184,1,1001
249,56011185,15,10201185,1,1002
250,56011186,15,10201186,1,1003
251,56011186,8,91002,50,0
252,56011187,15,10201187,1,1001
253,56011188,15,10201188,1,1002
254,56011189,15,10201189,1,1003
255,56011189,8,91002,50,0
256,56011190,15,10201190,1,1001
257,56011191,15,10201191,1,1002
258,56011192,15,10201192,1,1003
259,56011192,8,91002,50,0
260,56011193,15,10201193,1,1001
261,56011194,15,10201194,1,1002
262,56011195,15,10201195,1,1003
263,56011195,8,91002,50,0
264,56011196,15,10201196,1,1001
265,56011197,15,10201197,1,1002
266,56011198,15,10201198,1,1003
267,56011198,8,91002,50,0
268,56011199,15,10201199,1,1001
269,56011200,15,10201200,1,1002
270,56011201,15,10201201,1,1003
271,56011201,8,91002,50,0
272,56011202,15,10201202,1,1001
273,56011203,15,10201203,1,1002
274,56011204,15,10201204,1,1003
275,56011204,8,91002,50,0
276,56011205,15,10201205,1,1001
277,56011206,15,10201206,1,1002
278,56011207,15,10201207,1,1003
279,56011207,8,91002,50,0
280,56011208,15,10201208,1,1001
281,56011209,15,10201209,1,1002
282,56011210,15,10201210,1,1003
283,56011210,8,91002,50,0
284,56011211,15,10201211,1,1001
285,56011212,15,10201212,1,1002
286,56011213,15,10201213,1,1003
287,56011213,8,91002,50,0
288,56011214,15,10201214,1,1001
289,56011215,15,10201215,1,1002
290,56011216,15,10201216,1,1003
291,56011216,8,91002,50,0
292,56011217,15,10201217,1,1001
293,56011218,15,10201218,1,1002
294,56011219,15,10201219,1,1003
295,56011219,8,91002,50,0
296,56011220,15,10201220,1,1001
297,56011221,15,10201221,1,1002
298,56011222,15,10201222,1,1003
299,56011222,8,91002,50,0
300,56011223,15,10201223,1,1001
301,56011224,15,10201224,1,1002
302,56011225,15,10201225,1,1003
303,56011225,8,91002,50,0
304,56011226,15,10201226,1,1001
305,56011227,15,10201227,1,1002
306,56011228,15,10201228,1,1003
307,56011228,8,91002,50,0
308,56011229,15,10201229,1,1001
309,56011230,15,10201230,1,1002
310,56011231,15,10201231,1,1003
311,56011231,8,91002,50,0
312,56011232,15,10201232,1,1001
313,56011233,15,10201233,1,1002
314,56011234,15,10201234,1,1003
315,56011234,8,91002,50,0
316,56012001,15,10202001,1,1003
317,56012002,15,10202002,1,1003
318,56012003,15,10202003,1,1003
319,56012004,15,10202004,1,1003
320,56012005,15,10202005,1,1003
321,56012006,15,10202006,1,1003
322,56012007,15,10202007,1,1003
323,56012008,15,10202008,1,1003
324,56012009,15,10202009,1,1003
325,56012010,15,10202010,1,1003
326,56012011,15,10202011,1,1003
327,56012012,15,10202012,1,1003
328,56012013,15,10202013,1,1003
329,56012014,15,10202014,1,1003
330,56012015,15,10202015,1,1003
447,54002001,15,10501001,1,1001
448,54002001,8,91002,50,0
449,54002002,15,10501002,1,1002
450,54002002,8,91002,50,0
451,54002003,15,10501003,1,1003
452,54002003,8,91002,50,0
453,54004001,15,10502001,1,1001
454,54004001,8,91002,50,0
455,54004002,15,10502002,1,1002
456,54004002,8,91002,50,0
457,54004003,15,10502003,1,1003
458,54004003,8,91002,50,0
459,55006001,15,10601001,1,1001
460,55006001,8,91002,10,0
461,55006002,15,10601002,1,1002
462,55006002,8,91002,30,0
463,55006003,15,10601003,1,1003
464,55006003,8,91002,50,0
465,56011235,15,10201235,1,1001
466,56011236,15,10201236,1,1002
467,56011237,15,10201237,1,1003
468,56011237,8,91002,50,0
469,56011238,15,10201238,1,1001
470,56011239,15,10201239,1,1002
471,56011240,15,10201240,1,1003
472,56011240,8,91002,50,0
473,56011241,15,10201241,1,1001
474,56011242,15,10201242,1,1002
475,56011243,15,10201243,1,1003
476,56011243,8,91002,50,0
477,56011244,15,10201244,1,1001
478,56011245,15,10201245,1,1002
479,56011246,15,10201246,1,1003
480,56011246,8,91002,50,0
481,56011247,15,10201247,1,1001
482,56011248,15,10201248,1,1002
483,56011249,15,10201249,1,1003
484,56011249,8,91002,50,0
485,56011250,15,10201250,1,1001
486,56011251,15,10201251,1,1002
487,56011252,15,10201252,1,1003
488,56011252,8,91002,50,0
489,56011253,15,10201253,1,1001
490,56011254,15,10201254,1,1002
491,56011255,15,10201255,1,1003
492,56011255,8,91002,50,0
493,56011256,15,10201256,1,1001
494,56011257,15,10201257,1,1002
495,56011258,15,10201258,1,1003
496,56011258,8,91002,50,0
497,56011259,15,10201259,1,1001
498,56011260,15,10201260,1,1002
499,56011261,15,10201261,1,1003
500,56011261,8,91002,50,0
501,56011262,15,10201262,1,1001
502,56011263,15,10201263,1,1002
503,56011264,15,10201264,1,1003
504,56011264,8,91002,50,0
505,56011265,15,10201265,1,1001
506,56011266,15,10201266,1,1002
507,56011267,15,10201267,1,1003
508,56011267,8,91002,50,0
509,56011268,15,10201268,1,1001
510,56011269,15,10201269,1,1002
511,56011270,15,10201270,1,1003
512,56011270,8,91002,50,0
513,56011271,15,10201271,1,1003
514,56011271,8,91002,100,0
515,56011272,15,10201272,1,1003
516,56011272,8,91002,100,0
517,56011273,15,10201273,1,1003
518,56011273,8,91002,100,0
519,56011274,15,10201274,1,1001
520,56011275,15,10201275,1,1002
521,56011276,15,10201276,1,1003
522,56011276,8,91002,50,0
523,56011277,15,10201277,1,1001
524,56011278,15,10201278,1,1002
525,56011279,15,10201279,1,1003
526,56011279,8,91002,50,0
527,56011280,15,10201280,1,1001
528,56011281,15,10201281,1,1002
529,56011282,15,10201282,1,1003
530,56011282,8,91002,50,0
531,56011283,15,10201283,1,1001
532,56011284,15,10201284,1,1002
533,56011285,15,10201285,1,1003
534,56011285,8,91002,50,0
535,56011286,15,10201286,1,1003
536,56011286,8,91002,100,0
537,56014001,15,11101001,1,1001
538,56014001,8,91002,10,0
539,56014002,15,11101002,1,1002
540,56014002,8,91002,20,0
541,56014003,15,11101003,1,1003
542,56014003,8,91002,50,0
543,56015001,15,11201001,1,1001
544,56015001,8,91002,50,0
545,56015002,15,11201002,1,1002
546,56015002,8,91002,50,0
547,56015003,15,11201003,1,1003
548,56015003,8,91002,50,0
549,56011287,15,10201287,1,1001
550,56011288,15,10201288,1,1002
551,56011289,15,10201289,1,1003
552,56011289,8,91002,50,0
553,56011290,15,10201290,1,1001
554,56011291,15,10201291,1,1002
555,56011292,15,10201292,1,1003
556,56011292,8,91002,50,0
557,56011293,15,10201293,1,1003
558,56011293,8,91002,100,0
559,56011294,15,10201294,1,1001
560,56011295,15,10201295,1,1002
561,56011296,15,10201296,1,1003
562,56011296,8,91002,50,0
563,56011297,15,10201297,1,1001
564,56011298,15,10201298,1,1002
565,56011299,15,10201299,1,1003
566,56011299,8,91002,50,0
567,56011300,15,10201300,1,1001
568,56011301,15,10201301,1,1002
569,56011302,15,10201302,1,1003
570,56011302,8,91002,50,0
571,56011303,15,10201303,1,1003
572,56011303,8,91002,100,0
573,56011304,15,10201304,1,1001
574,56011305,15,10201305,1,1002
575,56011306,15,10201306,1,1003
576,56011306,8,91002,50,0
577,58008015,15,10301015,1,1003
578,58008015,8,91002,50,0
579,56011307,15,10201307,1,1001
580,56011308,15,10201308,1,1002
581,56011309,15,10201309,1,1003
582,56011309,8,91002,50,0
583,56011310,15,10201310,1,1001
584,56011311,15,10201311,1,1002
585,56011312,15,10201312,1,1003
586,56011312,8,91002,50,0
587,56011313,15,10201313,1,1003
588,56011313,8,91002,100,0
589,56011314,15,10201314,1,1001
590,56011315,15,10201315,1,1002
591,56011316,15,10201316,1,1003
592,56011316,8,91002,50,0
593,56011317,15,10201317,1,1001
594,56011318,15,10201318,1,1002
595,56011319,15,10201319,1,1003
596,56011319,8,91002,50,0
597,56011320,15,10201320,1,1001
598,56011321,15,10201321,1,1002
599,56011322,15,10201322,1,1003
600,56011322,8,91002,50,0
601,56011323,15,10201323,1,1003
602,56011323,8,91002,100,0
603,56011324,15,10201324,1,1001
604,56011325,15,10201325,1,1002
605,56011326,15,10201326,1,1003
606,56011326,8,91002,50,0
607,56011327,15,10201327,1,1001
608,56011328,15,10201328,1,1002
609,56011329,15,10201329,1,1003
610,56011329,8,91002,50,0
611,56011330,15,10201330,1,1001
612,56011331,15,10201331,1,1002
613,56011332,15,10201332,1,1003
614,56011332,8,91002,50,0
615,56011333,15,10201333,1,1003
616,56011333,8,91002,100,0
617,56011334,15,10201334,1,1003
618,56011334,8,91002,100,0
619,56011335,15,10201335,1,1003
620,56011335,8,91002,100,0
621,56012100,15,10202100,1,1003
622,56011336,15,10201336,1,1001
623,56011337,15,10201337,1,1002
624,56011338,15,10201338,1,1003
625,56011338,8,91002,50,0
626,56011339,15,10201339,1,1001
627,56011340,15,10201340,1,1002
628,56011341,15,10201341,1,1003
629,56011341,8,91002,50,0
630,56012016,15,10202016,1,1003
631,56011342,15,10201342,1,1003
632,56011342,8,91002,100,0
633,56011343,15,10201343,1,1001
634,56011344,15,10201344,1,1002
635,56011345,15,10201345,1,1003
636,56011345,8,91002,50,0
637,56011346,15,10201346,1,1001
638,56011347,15,10201347,1,1002
639,56011348,15,10201348,1,1003
640,56011348,8,91002,50,0
641,56011349,15,10201349,1,1003
642,56011349,8,91002,100,0
643,55008001,15,10603001,1,1001
644,55008001,8,91002,50,0
645,55008002,15,10603002,1,1001
646,55008002,8,91002,50,0
647,55008003,15,10603003,1,1002
648,55008003,8,91002,50,0
649,55008004,15,10603004,1,1002
650,55008004,8,91002,50,0
651,55008005,15,10603005,1,1003
652,55008005,8,91002,50,0
653,55008006,15,10603006,1,1003
654,55008006,8,91002,50,0
655,56011350,15,10201350,1,1001
656,56011351,15,10201351,1,1002
657,56011352,15,10201352,1,1003
658,56011352,8,91002,50,0
659,56011353,15,10201353,1,1001
660,56011354,15,10201354,1,1002
661,56011355,15,10201355,1,1003
662,56011355,8,91002,50,0
663,56011356,15,10201356,1,1001
664,56011357,15,10201357,1,1002
665,56011358,15,10201358,1,1003
666,56011358,8,91002,50,0
667,56011359,15,10201359,1,1003
668,56011359,8,91002,100,0
669,56011360,15,10201360,1,1001
670,56011361,15,10201361,1,1002
671,56011362,15,10201362,1,1003
672,56011362,8,91002,50,0
673,56011363,15,10201363,1,1001
674,56011364,15,10201364,1,1002
675,56011365,15,10201365,1,1003
676,56011365,8,91002,50,0
677,56012017,15,10202017,1,1003
678,56011366,15,10201366,1,1001
679,56011367,15,10201367,1,1002
680,56011368,15,10201368,1,1003
681,56011368,8,91002,50,0
682,56011369,15,10201369,1,1001
683,56011370,15,10201370,1,1002
684,56011371,15,10201371,1,1003
685,56011371,8,91002,50,0
686,56011372,15,10201372,1,1003
687,56011372,8,91002,100,0
688,56011373,15,10201373,1,1001
689,56011374,15,10201374,1,1002
690,56011375,15,10201375,1,1003
691,56011375,8,91002,50,0
692,56011376,15,10201376,1,1001
693,56011377,15,10201377,1,1002
694,56011378,15,10201378,1,1003
695,56011378,8,91002,50,0
696,56011379,15,10201379,1,1001
697,56011380,15,10201380,1,1002
698,56011381,15,10201381,1,1003
699,56011381,8,91002,50,0
700,56011382,15,10201382,1,1001
701,56011383,15,10201383,1,1002
702,56011384,15,10201384,1,1003
703,56011384,8,91002,50,0
704,56011385,15,10201385,1,1003
705,56011385,8,91002,100,0
706,56011386,15,10201386,1,1001
707,56011387,15,10201387,1,1002
708,56011388,15,10201388,1,1003
709,56011388,8,91002,50,0
710,56011389,15,10201389,1,1001
711,56011390,15,10201390,1,1002
712,56011391,15,10201391,1,1003
713,56011391,8,91002,50,0
714,56011392,15,10201392,1,1001
715,56011393,15,10201393,1,1002
716,56011394,15,10201394,1,1003
717,56011394,8,91002,50,0
718,56011395,15,10201395,1,1003
719,56011395,8,91002,100,0
720,56011396,15,10201396,1,1003
721,56011396,8,91002,100,0
722,56011397,15,10201397,1,1001
723,56011398,15,10201398,1,1002
724,56011399,15,10201399,1,1003
725,56011399,8,91002,50,0
726,56011400,15,10201400,1,1001
727,56011401,15,10201401,1,1002
728,56011402,15,10201402,1,1003
729,56011402,8,91002,50,0
730,56011403,15,10201403,1,1001
731,56011404,15,10201404,1,1002
732,56011405,15,10201405,1,1003
733,56011405,8,91002,50,0
734,56011406,15,10201406,1,1003
735,56011406,8,91002,100,0
736,56011407,15,10201407,1,1001
737,56011408,15,10201408,1,1002
738,56011409,15,10201409,1,1003
739,56011409,8,91002,50,0
740,56011410,15,10201410,1,1001
741,56011411,15,10201411,1,1002
742,56011412,15,10201412,1,1003
743,56011412,8,91002,50,0
744,56011413,15,10201413,1,1003
745,56011413,8,91002,100,0
746,56011414,15,10201414,1,1001
747,56011415,15,10201415,1,1002
748,56011416,15,10201416,1,1003
749,56011416,8,91002,50,0
750,56011417,15,10201417,1,1001
751,56011418,15,10201418,1,1002
752,56011419,15,10201419,1,1003
753,56011419,8,91002,50,0
754,56011420,15,10201420,1,1001
755,56011421,15,10201421,1,1002
756,56011422,15,10201422,1,1003
757,56011422,8,91002,50,0
758,56011423,15,10201423,1,1003
759,56011423,8,91002,100,0
760,56011424,15,10201424,1,1001
761,56011425,15,10201425,1,1002
762,56011426,15,10201426,1,1003
763,56011426,8,91002,50,0
764,56011427,15,10201427,1,1001
765,56011428,15,10201428,1,1002
766,56011429,15,10201429,1,1003
767,56011429,8,91002,50,0
768,56011430,15,10201430,1,1001
769,56011431,15,10201431,1,1002
770,56011432,15,10201432,1,1003
771,56011432,8,91002,50,0
772,56011433,15,10201433,1,1001
773,56011434,15,10201434,1,1002
774,56011435,15,10201435,1,1003
775,56011435,8,91002,50,0
776,56011436,15,10201436,1,1003
777,56011436,8,91002,100,0
778,56011437,15,10201437,1,1001
779,56011438,15,10201438,1,1002
780,56011439,15,10201439,1,1003
781,56011439,8,91002,50,0
782,56011440,15,10201440,1,1001
783,56011441,15,10201441,1,1002
784,56011442,15,10201442,1,1003
785,56011442,8,91002,50,0
786,56011443,15,10201443,1,1001
787,56011444,15,10201444,1,1002
788,56011445,15,10201445,1,1003
789,56011445,8,91002,50,0
790,56011446,15,10201446,1,1003
791,56011446,8,91002,100,0
792,56011447,15,10201447,1,1001
793,56011448,15,10201448,1,1002
794,56011449,15,10201449,1,1003
795,56011449,8,91002,50,0
796,56011450,15,10201450,1,1001
797,56011451,15,10201451,1,1002
798,56011452,15,10201452,1,1003
799,56011452,8,91002,50,0
800,56011453,15,10201453,1,1001
801,56011454,15,10201454,1,1002
802,56011455,15,10201455,1,1003
803,56011455,8,91002,50,0
804,56011456,15,10201456,1,1001
805,56011457,15,10201457,1,1002
806,56011458,15,10201458,1,1003
807,56011458,8,91002,50,0
808,56011459,15,10201459,1,1001
809,56011460,15,10201460,1,1002
810,56011461,15,10201461,1,1003
811,56011461,8,91002,50,0
812,56011462,15,10201462,1,1003
813,56011462,8,91002,100,0
814,56011463,15,10201463,1,1003
815,56011463,8,91002,100,0
816,56011464,15,10201464,1,1003
817,56011464,8,91002,100,0
818,56011465,15,10201465,1,1001
819,56011466,15,10201466,1,1002
820,56011467,15,10201467,1,1003
821,56011467,8,91002,50,0
822,56011468,15,10201468,1,1001
823,56011469,15,10201469,1,1002
824,56011470,15,10201470,1,1003
825,56011470,8,91002,50,0
826,56011471,15,10201471,1,1003
827,56011471,8,91002,100,0
828,56011472,15,10201472,1,1001
829,56011473,15,10201473,1,1002
830,56011474,15,10201474,1,1003
831,56011474,8,91002,50,0
832,56011475,15,10201475,1,1001
833,56011476,15,10201476,1,1002
834,56011477,15,10201477,1,1003
835,56011477,8,91002,50,0
836,56011478,15,10201478,1,1001
837,56011479,15,10201479,1,1002
838,56011480,15,10201480,1,1003
839,56011480,8,91002,50,0
840,56011481,15,10201481,1,1001
841,56011482,15,10201482,1,1002
842,56011483,15,10201483,1,1003
843,56011483,8,91002,50,0
844,56011484,15,10201484,1,1003
845,56011484,8,91002,100,0
846,56011485,15,10201485,1,1001
847,56011486,15,10201486,1,1002
848,56011487,15,10201487,1,1003
849,56011487,8,91002,50,0
850,56011488,15,10201488,1,1001
851,56011489,15,10201489,1,1002
852,56011490,15,10201490,1,1003
853,56011490,8,91002,50,0
854,56011491,15,10201491,1,1001
855,56011492,15,10201492,1,1002
856,56011493,15,10201493,1,1003
857,56011493,8,91002,50,0
858,56011494,15,10201494,1,1003
859,56011494,8,91002,100,0
860,56011495,15,10201495,1,1001
861,56011496,15,10201496,1,1002
862,56011497,15,10201497,1,1003
863,56011497,8,91002,50,0
864,56011498,15,10201498,1,1001
865,56011499,15,10201499,1,1002
866,56011500,15,10201500,1,1003
867,56011500,8,91002,50,0
868,56011501,15,10201501,1,1001
869,56011502,15,10201502,1,1002
870,56011503,15,10201503,1,1003
871,56011503,8,91002,50,0
872,56011504,15,10201504,1,1003
873,56011504,8,91002,100,0
874,56011505,15,10201505,1,1001
875,56011506,15,10201506,1,1002
876,56011507,15,10201507,1,1003
877,56011507,8,91002,50,0
878,56011508,15,10201508,1,1001
879,56011509,15,10201509,1,1002
880,56011510,15,10201510,1,1003
881,56011510,8,91002,50,0
882,56011511,15,10201511,1,1001
883,56011512,15,10201512,1,1002
884,56011513,15,10201513,1,1003
885,56011513,8,91002,50,0
886,56011514,15,10201514,1,1003
887,56011514,8,91002,100,0
888,56011515,15,10201515,1,1001
889,56011516,15,10201516,1,1002
890,56011517,15,10201517,1,1003
891,56011517,8,91002,50,0
892,56011518,15,10201518,1,1001
893,56011519,15,10201519,1,1002
894,56011520,15,10201520,1,1003
895,56011520,8,91002,50,0
896,56011521,15,10201521,1,1001
897,56011522,15,10201522,1,1002
898,56011523,15,10201523,1,1003
899,56011523,8,91002,50,0
900,56011524,15,10201524,1,1003
901,56011524,8,91002,100,0
902,56011525,15,10201525,1,1001
903,56011526,15,10201526,1,1002
904,56011527,15,10201527,1,1003
905,56011527,8,91002,50,0
906,56011528,15,10201528,1,1001
907,56011529,15,10201529,1,1002
908,56011530,15,10201530,1,1003
909,56011530,8,91002,50,0
910,56011531,15,10201531,1,1001
911,56011532,15,10201532,1,1002
912,56011533,15,10201533,1,1003
913,56011533,8,91002,50,0
914,56011534,15,10201534,1,1001
915,56011535,15,10201535,1,1002
916,56011536,15,10201536,1,1003
917,56011536,8,91002,50,0
918,56011537,15,10201537,1,1003
919,56011537,8,91002,100,0
920,56011538,15,10201538,1,1001
921,56011539,15,10201539,1,1002
922,56011540,15,10201540,1,1003
923,56011540,8,91002,50,0
924,56011541,15,10201541,1,1001
925,56011542,15,10201542,1,1002
926,56011543,15,10201543,1,1003
927,56011543,8,91002,50,0
928,56011544,15,10201544,1,1001
929,56011545,15,10201545,1,1002
930,56011546,15,10201546,1,1003
931,56011546,8,91002,50,0
932,56011547,15,10201547,1,1001
933,56011548,15,10201548,1,1002
934,56011549,15,10201549,1,1003
935,56011549,8,91002,50,0
936,56011550,15,10201550,1,1003
937,56011550,8,91002,100,0
938,56011551,15,10201551,1,1003
939,56011551,8,91002,100,0
940,56011552,15,10201552,1,1001
941,56011553,15,10201553,1,1002
942,56011554,15,10201554,1,1003
943,56011554,8,91002,50,0
944,56011555,15,10201555,1,1001
945,56011556,15,10201556,1,1002
946,56011557,15,10201557,1,1003
947,56011557,8,91002,50,0
948,56011558,15,10201558,1,1001
949,56011559,15,10201559,1,1002
950,56011560,15,10201560,1,1003
951,56011560,8,91002,50,0
952,56011561,15,10201561,1,1003
953,56011561,8,91002,100,0
954,56011562,15,10201562,1,1001
955,56011563,15,10201563,1,1002
956,56011564,15,10201564,1,1003
957,56011564,8,91002,50,0
958,56011565,15,10201565,1,1001
959,56011566,15,10201566,1,1002
960,56011567,15,10201567,1,1003
961,56011567,8,91002,50,0
962,56011568,15,10201568,1,1001
963,56011569,15,10201569,1,1002
