event_top_adv_id,event_id,type,value_1,value_2,value_3,story_id,character_id,condition_type,condition_story_id,start_time,end_time
24,10006,1001,10,0,0,5006403,100501,0,0,"2020/09/28 9:00:00","2020/10/17 23:59:59"
25,10006,1001,20,0,0,5006404,103701,0,0,"2020/09/28 9:00:00","2020/10/17 23:59:59"
26,10006,1001,30,0,0,5006405,104701,0,0,"2020/09/28 9:00:00","2020/10/17 23:59:59"
27,10006,1003,2,0,0,5006406,100501,0,0,"2020/09/28 9:00:00","2020/10/17 23:59:59"
28,10006,1003,5,0,0,5006407,103701,0,0,"2020/09/28 9:00:00","2020/10/17 23:59:59"
29,10006,1003,8,0,0,5006408,104701,0,0,"2020/09/28 9:00:00","2020/10/17 23:59:59"
30,10006,1003,12,0,0,5006409,107101,0,0,"2020/09/28 9:00:00","2020/10/17 23:59:59"
31,10006,1003,16,0,0,5006410,100501,0,0,"2020/09/28 9:00:00","2020/10/17 23:59:59"
32,10006,1003,20,0,0,5006411,104701,0,0,"2020/09/28 9:00:00","2020/10/17 23:59:59"
33,10007,1004,108201,0,0,5007401,108201,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
34,10007,1002,1000703,1,0,5007402,108101,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
35,10007,1001,10,0,0,5007403,108101,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
36,10007,1001,20,0,0,5007404,108201,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
37,10007,1001,30,0,0,5007405,108101,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
38,10007,1003,2,0,0,5007406,108201,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
39,10007,1003,5,0,0,5007407,108101,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
40,10007,1003,8,0,0,5007408,108201,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
41,10007,1003,12,0,0,5007409,108101,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
42,10007,1003,16,0,0,5007410,108201,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
43,10007,1003,20,0,0,5007411,108101,0,0,"2020/10/26 11:00:00","2020/11/14 23:59:59"
44,10008,1002,1000803,1,0,5008402,105601,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
45,10008,1001,10,0,0,5008403,101301,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
46,10008,1001,20,0,0,5008404,100901,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
47,10008,1001,30,0,0,5008405,105601,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
48,10008,1003,2,0,0,5008406,105601,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
49,10008,1003,4,0,0,5008407,100901,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
50,10008,1003,7,0,0,5008408,101301,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
51,10008,1003,10,0,0,5008409,105101,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
52,10008,1003,13,0,0,5008410,102701,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
53,10008,1003,15,0,0,5008411,105601,0,0,"2020/11/23 11:00:00","2020/12/07 23:59:59"
54,10009,1004,108501,0,0,5009401,108501,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
55,10009,1002,1000903,1,0,5009402,108401,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
56,10009,1001,10,0,0,5009403,108601,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
57,10009,1001,20,0,0,5009404,108501,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
58,10009,1001,30,0,0,5009405,108401,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
59,10009,1003,2,0,0,5009406,108601,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
60,10009,1003,4,0,0,5009407,108601,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
61,10009,1003,7,0,0,5009408,108501,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
62,10009,1003,10,0,0,5009409,108501,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
63,10009,1003,13,0,0,5009410,108401,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
64,10009,1003,15,0,0,5009411,108401,0,0,"2020/12/20 11:00:00","2021/01/03 23:59:59"
65,10010,1004,108901,0,0,5010401,108901,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
66,10010,1002,1001003,1,0,5010402,108801,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
67,10010,1001,10,0,0,5010403,108901,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
68,10010,1001,20,0,0,5010404,108701,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
69,10010,1001,30,0,0,5010405,108801,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
70,10010,1003,2,0,0,5010406,108801,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
71,10010,1003,4,0,0,5010407,108901,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
72,10010,1003,7,0,0,5010408,108701,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
73,10010,1003,10,0,0,5010409,108901,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
74,10010,1003,13,0,0,5010410,108801,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
75,10010,1003,15,0,0,5010411,108701,0,0,"2021/01/18 9:00:00","2021/02/01 23:59:59"
76,10011,1004,109001,0,0,5011401,109001,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
77,10011,1002,1001103,1,0,5011402,101101,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
78,10011,1001,10,0,0,5011403,101101,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
79,10011,1001,20,0,0,5011404,109101,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
80,10011,1001,30,0,0,5011405,109001,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
81,10011,1003,2,0,0,5011406,109101,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
82,10011,1003,4,0,0,5011407,109001,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
83,10011,1003,7,0,0,5011408,109101,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
84,10011,1003,10,0,0,5011409,109001,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
85,10011,1003,13,0,0,5011410,101101,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
86,10011,1003,15,0,0,5011411,109101,0,0,"2021/02/14 11:00:00","2021/02/28 23:59:59"
87,10012,1002,1001203,1,0,5012402,101401,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
88,10012,1001,10,0,0,5012403,105501,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
89,10012,1001,20,0,0,5012404,101401,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
90,10012,1001,30,0,0,5012405,101401,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
91,10012,1003,2,0,0,5012406,101401,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
92,10012,1003,4,0,0,5012407,101401,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
93,10012,1003,7,0,0,5012408,101401,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
94,10012,1003,10,0,0,5012409,105501,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
95,10012,1003,13,0,0,5012410,105501,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
96,10012,1003,15,0,0,5012411,101401,0,0,"2021/03/15 11:00:00","2021/03/29 23:59:59"
97,10013,1004,109301,0,0,5013401,109301,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
98,10013,1002,1001303,1,0,5013402,109201,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
99,10013,1001,10,0,0,5013403,109301,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
100,10013,1001,20,0,0,5013404,109401,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
101,10013,1001,30,0,0,5013405,109201,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
102,10013,1003,2,0,0,5013406,109201,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
103,10013,1003,4,0,0,5013407,109401,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
104,10013,1003,6,0,0,5013408,109301,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
105,10013,1003,8,0,0,5013409,109201,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
106,10013,1003,10,0,0,5013410,109401,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
107,10013,1003,13,0,0,5013411,109201,0,0,"2021/05/15 9:00:00","2021/05/27 23:59:59"
108,10015,1002,1001503,1,0,5015402,105301,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
109,10015,1001,10,0,0,5015403,105301,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
110,10015,1001,20,0,0,5015404,109501,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
111,10015,1001,30,0,0,5015405,109601,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
112,10015,1003,2,0,0,5015406,109501,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
113,10015,1003,4,0,0,5015407,109501,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
114,10015,1003,6,0,0,5015408,105301,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
115,10015,1003,8,0,0,5015409,109601,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
116,10015,1003,10,0,0,5015410,109601,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
117,10015,1003,13,0,0,5015411,105301,0,0,"2021/06/14 11:00:00","2021/06/26 23:59:59"
118,10017,1004,109801,0,0,5017401,109801,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
119,10017,1002,1001703,1,0,5017402,109901,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
120,10017,1001,10,0,0,5017403,109801,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
121,10017,1001,20,0,0,5017404,109701,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
122,10017,1001,30,0,0,5017405,109901,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
123,10017,1003,2,0,0,5017406,109701,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
124,10017,1003,4,0,0,5017407,109701,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
125,10017,1003,7,0,0,5017408,109801,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
126,10017,1003,10,0,0,5017409,109901,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
127,10017,1003,13,0,0,5017410,109901,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
128,10017,1003,15,0,0,5017411,109901,0,0,"2021/04/17 9:00:00","2021/05/01 23:59:59"
129,10019,1004,110101,0,0,5019401,110101,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
130,10019,1002,1001903,1,0,5019402,110201,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
131,10019,1001,10,0,0,5019403,110001,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
132,10019,1001,20,0,0,5019404,110201,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
133,10019,1001,30,0,0,5019405,110101,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
134,10019,1003,2,0,0,5019406,110001,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
135,10019,1003,4,0,0,5019407,110001,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
136,10019,1003,7,0,0,5019408,110201,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
137,10019,1003,10,0,0,5019409,110101,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
138,10019,1003,13,0,0,5019410,110101,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
139,10019,1003,15,0,0,5019411,110201,0,0,"2021/07/12 11:00:00","2021/07/26 23:59:59"
140,10020,1004,107601,0,0,5004401,107601,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
141,10020,1002,1002003,1,0,5004402,107601,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
142,10020,1001,10,0,0,5004403,107701,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
143,10020,1001,20,0,0,5004404,107501,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
144,10020,1001,30,0,0,5004405,107601,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
145,10020,1003,2,0,0,5004406,107501,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
146,10020,1003,3,0,0,5004407,107601,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
147,10020,1003,4,0,0,5004408,107801,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
148,10020,1003,5,0,0,5004409,107701,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
149,10020,1003,6,0,0,5004410,107501,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
150,10020,1003,8,0,0,5004411,107601,0,0,"2021/07/27 09:00:00","2021/08/03 23:59:59"
151,10021,1004,110501,0,0,5021401,110501,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
152,10021,1002,1002103,1,0,5021402,110401,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
153,10021,1001,10,0,0,5021403,110501,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
154,10021,1001,20,0,0,5021404,110401,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
155,10021,1001,30,0,0,5021405,110601,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
156,10021,1003,2,0,0,5021406,110601,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
157,10021,1003,4,0,0,5021407,110401,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
158,10021,1003,6,0,0,5021408,110501,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
159,10021,1003,8,0,0,5021409,110401,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
160,10021,1003,11,0,0,5021410,110601,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
161,10021,1003,14,0,0,5021411,110501,0,0,"2021/08/09 11:00:00","2021/08/22 23:59:59"
162,10022,1004,108001,0,0,5005401,108001,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
163,10022,1002,1002203,1,0,5005402,107901,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
164,10022,1001,10,0,0,5005403,108001,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
165,10022,1001,20,0,0,5005404,107901,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
166,10022,1001,30,0,0,5005405,108001,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
167,10022,1003,2,0,0,5005406,107901,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
168,10022,1003,3,0,0,5005407,108001,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
169,10022,1003,4,0,0,5005408,107901,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
170,10022,1003,5,0,0,5005409,108001,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
171,10022,1003,6,0,0,5005410,107901,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
172,10022,1003,8,0,0,5005411,108001,0,0,"2021/08/23 11:00:00","2021/08/30 23:59:59"
173,10023,1002,1002303,1,0,5023402,110701,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
174,10023,1001,10,0,0,5023403,110801,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
175,10023,1001,20,0,0,5023404,110901,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
176,10023,1001,30,0,0,5023405,111001,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
177,10023,1003,2,0,0,5023406,110701,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
178,10023,1003,4,0,0,5023407,110701,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
179,10023,1003,7,0,0,5023408,111001,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
180,10023,1003,10,0,0,5023409,110801,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
181,10023,1003,13,0,0,5023410,110901,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
182,10023,1003,15,0,0,5023411,110701,0,0,"2021/09/06 09:00:00","2021/09/20 23:59:59"
183,10025,1004,111201,0,0,5025401,111201,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
184,10025,1002,1002503,1,0,5025402,111301,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
185,10025,1001,10,0,0,5025403,111201,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
186,10025,1001,20,0,0,5025404,111101,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
187,10025,1001,30,0,0,5025405,111301,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
188,10025,1003,2,0,0,5025406,111101,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
189,10025,1003,4,0,0,5025407,111101,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
190,10025,1003,7,0,0,5025408,111201,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
191,10025,1003,10,0,0,5025409,111301,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
192,10025,1003,13,0,0,5025410,111301,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
193,10025,1003,15,0,0,5025411,111301,0,0,"2021/10/04 11:00:00","2021/10/18 23:59:59"
194,10024,1002,1002403,1,0,5006402,103701,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
195,10024,1001,10,0,0,5006403,100501,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
196,10024,1001,20,0,0,5006404,103701,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
197,10024,1001,30,0,0,5006405,104701,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
198,10024,1003,2,0,0,5006406,100501,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
199,10024,1003,3,0,0,5006407,103701,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
200,10024,1003,4,0,0,5006408,104701,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
201,10024,1003,5,0,0,5006409,107101,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
202,10024,1003,6,0,0,5006410,100501,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
203,10024,1003,8,0,0,5006411,104701,0,0,"2021/09/21 11:00:00","2021/09/28 23:59:59"
214,10026,1004,108201,0,0,5007401,108201,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
215,10026,1002,1002603,1,0,5007402,108101,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
216,10026,1001,10,0,0,5007403,108101,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
217,10026,1001,20,0,0,5007404,108201,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
218,10026,1001,30,0,0,5007405,108101,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
219,10026,1003,2,0,0,5007406,108201,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
220,10026,1003,3,0,0,5007407,108101,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
221,10026,1003,4,0,0,5007408,108201,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
222,10026,1003,5,0,0,5007409,108101,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
223,10026,1003,6,0,0,5007410,108201,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
224,10026,1003,8,0,0,5007411,108101,0,0,"2021/10/19 11:00:00","2021/10/26 23:59:59"
225,10027,1002,1002703,1,0,5027402,106601,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
226,10027,1001,10,0,0,5027403,100501,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
227,10027,1001,20,0,0,5027404,103701,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
228,10027,1001,30,0,0,5027405,106501,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
229,10027,1003,2,0,0,5027406,100501,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
230,10027,1003,4,0,0,5027407,103701,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
231,10027,1003,7,0,0,5027408,106501,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
232,10027,1003,10,0,0,5027409,100501,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
233,10027,1003,13,0,0,5027410,103701,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
234,10027,1003,15,0,0,5027411,100501,0,0,"2021/11/01 11:00:00","2021/11/15 23:59:59"
235,10028,1002,1002803,1,0,5008402,105601,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
236,10028,1001,10,0,0,5008403,101301,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
237,10028,1001,20,0,0,5008404,100901,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
238,10028,1001,30,0,0,5008405,105601,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
239,10028,1003,2,0,0,5008406,105601,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
240,10028,1003,3,0,0,5008407,100901,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
241,10028,1003,4,0,0,5008408,101301,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
242,10028,1003,5,0,0,5008409,105101,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
243,10028,1003,6,0,0,5008410,102701,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
244,10028,1003,8,0,0,5008411,105601,0,0,"2021/11/16 11:00:00","2021/11/23 23:59:59"
245,10029,1004,111601,0,0,5029401,111601,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
246,10029,1002,1002903,1,0,5029402,111501,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
247,10029,1001,10,0,0,5029403,111601,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
248,10029,1001,20,0,0,5029404,111701,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
249,10029,1001,30,0,0,5029405,111501,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
250,10029,1003,2,0,0,5029406,111501,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
251,10029,1003,4,0,0,5029407,111701,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
252,10029,1003,7,0,0,5029408,111601,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
253,10029,1003,10,0,0,5029409,111701,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
254,10029,1003,13,0,0,5029410,111501,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
255,10029,1003,15,0,0,5029411,111501,0,0,"2021/11/30 11:00:00","2021/12/14 23:59:59"
256,10030,1004,108501,0,0,5009401,108501,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
257,10030,1002,1003003,1,0,5009402,108401,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
258,10030,1001,10,0,0,5009403,108601,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
259,10030,1001,20,0,0,5009404,108501,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
260,10030,1001,30,0,0,5009405,108401,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
261,10030,1003,2,0,0,5009406,108601,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
262,10030,1003,3,0,0,5009407,108601,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
263,10030,1003,4,0,0,5009408,108501,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
264,10030,1003,5,0,0,5009409,108501,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
265,10030,1003,6,0,0,5009410,108401,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
266,10030,1003,8,0,0,5009411,108401,0,0,"2021/12/16 11:00:00","2021/12/23 23:59:59"
267,10031,1004,112101,0,0,5031401,112101,0,0,"2021/12/31 11:00:00","2022/1/14 23:59:59"
268,10031,1002,1003103,1,0,5031402,112001,0,0,"2021/12/31 11:00:00","2022/1/14 23:59:59"
269,10031,1001,10,0,0,5031403,111901,0,0,"2021/12/31 11:00:00","2022/1/14 23:59:59"
270,10031,1001,20,0,0,5031404,112001,0,0,"2021/12/31 11:00:00","2022/1/14 23:59:59"
