clan_battle_id,period,period_detail,period_detail_bg,period_detail_s,period_detail_bg_s,period_detail_bg_position,period_detail_boss_position_x,period_detail_boss_position_y,start_time,end_time,interval_start,interval_end,calc_start,result_start,result_end,limit_time,chest_id,quest_detail_rehearsal_label_height,min_carry_over_time
1011,1,"和行会成员互相合作\n打倒强大的怪物吧！",101452,"团队战开始！培养角色\n打倒怪物吧！",101452,0,0,0,"2021/02/05 5:00:00","2021/02/10 23:59:59",2021/02/11,"2021/03/09 4:59:59",2021/02/11,"2021/02/23 15:00:00","2021/03/09 4:59:59",90,40004,25,0
1012,1,"和行会成员互相合作\n打倒强大的怪物吧！",101562,"团队战开始！培养角色\n打倒怪物吧！",101562,0,0,0,"2021/03/09 5:00:00","2021/03/14 23:59:59",2021/03/15,"2021/04/11 4:59:59",2021/03/15,"2021/03/18 15:00:00","2021/04/11 4:59:59",90,40004,25,0
1013,1,"和行会成员互相合作\n打倒强大的怪物吧！",101011,"团队战开始！培养角色\n打倒怪物吧！",101011,0,0,0,"2021/04/11 5:00:00","2021/04/16 23:59:59",2021/04/17,"2021/05/09 4:59:59",2021/04/17,"2021/04/20 15:00:00","2021/05/09 4:59:59",90,40004,25,0
1014,1,"和行会成员互相合作\n打倒强大的怪物吧！",101021,"团队战开始！培养角色\n打倒怪物吧！",101021,0,0,0,"2021/05/09 5:00:00","2021/05/14 23:59:59",2021/05/15,"2021/06/08 4:59:59",2021/05/15,"2021/05/19 15:00:00","2021/06/08 4:59:59",90,40004,25,0
1015,1,"和行会成员互相合作\n打倒强大的怪物吧！",101042,"团队战开始！培养角色\n打倒怪物吧！",101042,0,0,0,"2021/06/08 5:00:00","2021/06/13 23:59:59",2021/06/14,"2021/07/06 4:59:59",2021/06/14,"2021/06/17 15:00:00","2021/07/06 4:59:59",90,40004,25,0
1016,1,"和行会成员互相合作\n打倒强大的怪物吧！",101162,"团队战开始！培养角色\n打倒怪物吧！",101162,0,0,0,"2021/07/06 5:00:00","2021/07/11 23:59:59",2021/07/12,"2021/08/03 4:59:59",2021/07/12,"2021/07/15 15:00:00","2021/08/03 4:59:59",90,40004,25,0
1017,1,"和行会成员互相合作\n打倒强大的怪物吧！",101172,"团队战开始！培养角色\n打倒怪物吧！",101172,0,0,0,"2021/08/03 5:00:00","2021/08/08 23:59:59",2021/08/09,"2021/08/31 4:59:59",2021/08/09,"2021/08/12 15:00:00","2021/08/31 4:59:59",90,40004,25,0
1018,1,"和行会成员互相合作\n打倒强大的怪物吧！",101192,"团队战开始！培养角色\n打倒怪物吧！",101192,0,0,0,"2021/08/31 5:00:00","2021/09/05 23:59:59",2021/09/06,"2021/09/28 4:59:59",2021/09/06,"2021/09/09 15:00:00","2021/09/28 4:59:59",90,40004,25,0
1019,1,"和行会成员互相合作\n打倒强大的怪物吧！",101202,"团队战开始！培养角色\n打倒怪物吧！",101202,0,0,0,"2021/09/28 5:00:00","2021/10/03 23:59:59",2021/10/04,"2021/10/26 4:59:59",2021/10/04,"2021/10/08 15:00:00","2021/10/26 4:59:59",90,40004,25,0
1020,1,"和行会成员互相合作\n打倒强大的怪物吧！",101292,"团队战开始！培养角色\n打倒怪物吧！",101292,0,0,0,"2021/10/26 5:00:00","2021/10/31 23:59:59",2021/11/01,"2021/11/24 4:59:59",2021/11/01,"2021/11/04 15:00:00","2021/11/24 4:59:59",90,40004,25,0
1021,1,"和行会成员互相合作\n打倒强大的怪物吧！",101302,"团队战开始！培养角色\n打倒怪物吧！",101302,0,0,0,"2021/11/24 5:00:00","2021/11/29 23:59:59",2021/11/30,"2021/12/25 4:59:59",2021/11/30,"2021/12/03 15:00:00","2021/12/25 4:59:59",90,40004,25,0
1022,1,"和行会成员互相合作\n打倒强大的怪物吧！",101441,"团队战开始！培养角色\n打倒怪物吧！",101441,0,0,0,"2021/12/25 5:00:00","2021/12/30 23:59:59",2021/12/31,"2022/01/22 4:59:59",2021/12/31,"2021/12/31 15:00:00","2022/01/22 4:59:59",90,40004,25,0
1023,1,"和行会成员互相合作\n打倒强大的怪物吧！",101452,"团队战开始！培养角色\n打倒怪物吧！",101452,0,0,0,"2022/01/22 5:00:00","2022/01/27 23:59:59",2022/01/28,"2022/02/22 4:59:59",2022/01/28,"2022/01/29 15:00:00","2022/02/22 4:59:59",90,40004,25,0
1024,1,"和行会成员互相合作\n打倒强大的怪物吧！",101562,"团队战开始！培养角色\n打倒怪物吧！",101562,0,0,0,"2022/02/22 5:00:00","2022/02/27 23:59:59",2022/02/28,"2022/03/24 4:59:59",2022/02/28,"2022/03/03 15:00:00","2022/03/24 4:59:59",90,40004,25,0
1025,1,"和行会成员互相合作\n打倒强大的怪物吧！",101011,"团队战开始！培养角色\n打倒怪物吧！",101011,0,0,0,"2022/03/25 5:00:00","2022/03/30 23:59:59",2022/03/31,"2022/04/24 4:59:59",2022/03/31,"2022/04/07 15:00:00","2022/04/24 4:59:59",90,40004,25,0
1026,1,"和行会成员互相合作\n打倒强大的怪物吧！",101021,"团队战开始！培养角色\n打倒怪物吧！",101021,0,0,0,"2022/04/24 5:00:00","2022/04/28 23:59:59",2022/04/29,"2022/05/26 4:59:59",2022/04/29,"2022/05/07 15:00:00","2022/05/26 4:59:59",90,40004,25,0
1027,1,"和行会成员互相合作\n打倒强大的怪物吧！",101042,"团队战开始！培养角色\n打倒怪物吧！",101042,0,0,0,"2022/05/26 5:00:00","2022/05/30 23:59:59",2022/05/31,"2022/06/25 4:59:59",2022/05/31,"2022/06/02 15:00:00","2022/06/25 4:59:59",90,40004,25,0
1028,1,"和行会成员互相合作\n打倒强大的怪物吧！",101162,"团队战开始！培养角色\n打倒怪物吧！",101162,0,0,0,"2022/06/25 5:00:00","2022/06/29 23:59:59",2022/6/30,"2022/07/26 4:59:59",2022/6/30,"2022/07/04 15:00:00","2022/07/26 4:59:59",90,40004,25,0
1029,1,"和行会成员互相合作\n打倒强大的怪物吧！",101172,"团队战开始！培养角色\n打倒怪物吧！",101172,0,0,0,"2022/07/26 5:00:00","2022/07/30 23:59:59",2022/7/31,"2022/08/26 4:59:59",2022/7/31,"2022/08/05 15:00:00","2022/08/26 4:59:59",90,40004,25,0
1030,1,"和行会成员互相合作\n打倒强大的怪物吧！",101192,"团队战开始！培养角色\n打倒怪物吧！",101192,0,0,0,"2022/08/26 5:00:00","2022/08/30 23:59:59",2022/8/31,"2022/09/25 4:59:59",2022/8/31,"2022/09/09 15:00:00","2022/09/25 4:59:59",90,40004,25,0
1031,1,"和行会成员互相合作\n打倒强大的怪物吧！",101202,"团队战开始！培养角色\n打倒怪物吧！",101202,0,0,0,"2022/09/25 5:00:00","2022/09/29 23:59:59",2022/9/30,"2022/10/26 4:59:59",2022/9/30,"2022/10/10 15:00:00","2022/10/26 4:59:59",90,40004,25,0
1032,1,"和行会成员互相合作\n打倒强大的怪物吧！",101292,"团队战开始！培养角色\n打倒怪物吧！",101292,0,0,0,"2022/10/26 5:00:00","2022/10/30 23:59:59",2022/10/31,"2022/11/25 4:59:59",2022/10/31,"2022/11/03 15:00:00","2022/11/25 4:59:59",90,40004,25,0
1033,1,"和行会成员互相合作\n打倒强大的怪物吧！",101302,"团队战开始！培养角色\n打倒怪物吧！",101302,0,0,0,"2022/11/25 5:00:00","2022/11/29 23:59:59",2022/11/30,"2022/12/26 4:59:59",2022/11/30,"2022/12/05 15:00:00","2022/12/26 4:59:59",90,40004,25,0
1034,1,"和行会成员互相合作\n打倒强大的怪物吧！",101441,"团队战开始！培养角色\n打倒怪物吧！",101441,0,0,0,"2022/12/26 5:00:00","2022/12/30 23:59:59",2022/12/31,"2023/1/26 4:59:59",2022/12/31,"2023/01/06 15:00:00","2023/1/26 4:59:59",90,40004,25,0
1035,1,"和行会成员互相合作\n打倒强大的怪物吧！",101452,"团队战开始！培养角色\n打倒怪物吧！",101452,0,0,0,"2023/1/26 5:00:00","2023/01/30 23:59:59",2023/1/31,"2023/2/23 4:59:59",2023/1/31,"2023/02/06 15:00:00","2023/2/23 4:59:59",90,40004,25,0
1036,1,"和行会成员互相合作\n打倒强大的怪物吧！",101562,"团队战开始！培养角色\n打倒怪物吧！",101562,0,0,0,"2023/2/23 5:00:00","2023/02/27 23:59:59",2023/2/28,"2023/3/26 4:59:59",2023/2/28,"2023/03/06 15:00:00","2023/3/26 4:59:59",90,40004,25,0
