command_id,drama_id,command_type,param_01,param_02,param_03,param_04,param_05,param_06,param_07,param_08
1051,1,22,0,0,"","","","","",""
2001,2,1,1,119931,100,-300,-200,1.7,0,psy_miyako_start
2002,2,1,1,106011,100,300,-220,1.7,1,psy_walk
2003,2,31,1,11,0,0,1,1,"",""
2004,2,5,1,1,101,-300,-200,1.7,0,psy_smoke_start
2005,2,2,106011,185,-220,2,0,"","",""
2006,2,93,2,"","","","","","",""
2007,2,3,106011,psy_kyaru_talk_arm_crossed,0,psy_kyaru_talk_arm_crossed_loop,1,0.2,0,""
2008,2,21,vo_minigame_1008,vo_minigame_1008_drama_0305,0,0,"","","",""
2009,2,11,106011,"我说你啊，\n帮我准备一些\n适合送给佩可莉姆的点心……",8,1,0,0,0,0.5
2010,2,91,0,"","","","","","",""
2011,2,21,vo_minigame_1008,vo_minigame_1008_drama_0306,0,0,"","","",""
2012,2,3,106011,psy_talk_sad,1,"","",0.2,"",""
2013,2,11,106011,"咦，不在啊。\n听说那家伙在这里工作\n我才来的呢……话说，这里一个人都没有啊。\n这家店防盗意识太差了吧。",8,1,0,0,0,0.5
2014,2,93,4,1,"","","","","",""
2015,2,3,106011,psy_talk_sad,1,"","",0.2,"",""
2016,2,91,2013,"","","","","","",""
2017,2,3,106011,psy_idle_sad,1,"","",0.2,"",""
2018,2,3,119931,psy_miyako_appear,0,psy_miyako_thinking4,1,0.2,0.2,""
2019,2,3,1,psy_smoke_appear,0,psy_smoke_start,0,0,0,""
2020,2,21,vo_minigame_1008,vo_minigame_1008_drama_0301,0,0,"","","",""
2021,2,11,119931,"布丁……布丁……\n要做究极的布丁太难了……\n有没有什么能激发我灵感的东西……",4,1,0,0,0,1
2022,2,93,8,1,"","","","","",""
2023,2,3,106011,psy_surprise,0,psy_idle_surprise2,1,0.2,0.2,""
2024,2,91,2021,"","","","","","",""
2025,2,22,0,0,"","","","","",""
2026,2,3,119931,psy_miyako_idle_thinking,1,"","",0.2,"",""
2027,2,3,106011,psy_talk_surprise2,1,"","",0.2,"",""
2028,2,21,vo_minigame_1008,vo_minigame_1008_drama_0307,0,0,"","","",""
2029,2,11,106011,"呀哈！？\n你怎么突然冒出来啊！",8,1,0,0,0,0.5
2030,2,91,0,"","","","","","",""
2031,2,3,106011,psy_idle_surprise2,1,"","",0.2,"",""
2032,2,3,119931,psy_miyako_anger1,1,"","",0.2,"",""
2033,2,21,vo_minigame_1008,vo_minigame_1008_drama_0302,0,0,"","","",""
2034,2,11,119931,"是你擅自进来的。\n不是宫子的错。\n别妨碍宫子……嗯？\n你……",4,1,0,0,0,1
2035,2,93,10,1,"","","","","",""
2036,2,3,119931,psy_miyako_thinking2,1,"","",0.2,"",""
2037,2,91,2034,"","","","","","",""
2038,2,22,0,0,"","","","","",""
2039,2,3,106011,psy_talk_sad,1,"","",0.2,"",""
2040,2,21,vo_minigame_1008,vo_minigame_1008_drama_0308,0,0,"","","",""
2041,2,11,106011,"怎、怎么了……",8,1,0,0,0,0.5
2042,2,91,0,"","","","","","",""
2043,2,3,106011,psy_idle_sad,1,"","",0.2,"",""
2044,2,3,119931,psy_miyako_run,1,"","",0.2,"",""
2045,2,2,119931,0,-200,2,0,"","",""
2046,2,93,2,"","","","","","",""
2047,2,3,119931,psy_miyako_thinking2,1,"","",0.2,"",""
2048,2,21,vo_minigame_1008,vo_minigame_1008_drama_0303,0,0,"","","",""
2049,2,11,119931,"唔唔唔唔唔……\n你感觉很好吃……",4,1,0,0,0,1
2050,2,91,0,"","","","","","",""
2051,2,22,0,0,"","","","","",""
2052,2,93,0.5,"","","","","","",""
2053,2,3,106011,psy_talk_sad,1,"","",0.2,"",""
2054,2,21,vo_minigame_1008,vo_minigame_1008_drama_0309,0,0,"","","",""
2055,2,11,106011,"哈？",8,1,0,0,0,0.5
2056,2,91,0,"","","","","","",""
2057,2,3,106011,psy_idle_sad,1,"","",0.2,"",""
2058,2,21,vo_minigame_1008,vo_minigame_1008_drama_0304,0,0,"","","",""
2059,2,11,119931,"我要把你变成布丁！",6,1,0,0,0,0.5
2060,2,93,0.5,1,"","","","","",""
2061,2,3,119931,psy_miyako_attack_in,0,psy_miyako_attack_loop,1,0.2,0,""
2062,2,93,0.2,1,"","","","","",""
2063,2,3,106011,psy_surprise,0,psy_idle_surprise2,1,0.2,0.2,""
2064,2,91,2059,"","","","","","",""
2065,2,22,0,0,"","","","","",""
2066,2,3,106011,psy_talk_surprise2,1,"","",0.2,"",""
2067,2,21,vo_minigame_1008,vo_minigame_1008_drama_0310,0,0,"","","",""
2068,2,11,106011,"这、这家店怎么回事啊！",8,1,0,0,0,0.5
2069,2,91,0,"","","","","","",""
2070,2,4,106011,0,"","","","","",""
2071,2,3,106011,psy_run_shy,1,"","",0.2,"",""
2072,2,3,119931,psy_miyako_attack_loop_move,1,"","",0.2,"",""
2073,2,2,106011,1000,-220,3,0,"","",""
2074,2,2,119931,1000,-220,5,0,"","",""
2075,2,93,3.5,"","","","","","",""
2076,2,22,0,0,"","","","","",""
2077,2,91,0,"","","","","","",""
3001,3,1,1,119931,100,-250,-150,1.65,1,psy_miyako_gasagoso_B
3002,3,1,1,105511,100,340,-180,1.7,1,psy_walk
3003,3,31,1,11,0,0,1,1,"",""
3004,3,5,1,1,101,-300,-220,1.7,0,psy_smoke_start
3005,3,2,105511,225,-180,2,0,"","",""
3006,3,93,2,"","","","","","",""
3007,3,3,105511,psy_talk_wish,1,"","",0.2,"",""
3008,3,21,vo_minigame_1008,vo_minigame_1008_drama_0203,0,0,"","","",""
3009,3,11,105511,"前、前辈是在这里工作的吧？",8,1,0,0,0,0.5
3010,3,91,0,"","","","","","",""
3011,3,3,105511,psy_ayumi_kyoro_in,0,psy_ayumi_kyoro_loop,1,0.2,0,""
3012,3,93,1.8,"","","","","","",""
3013,3,3,105511,psy_talk_joy1,1,"","",0.2,"",""
3014,3,21,vo_minigame_1008,vo_minigame_1008_drama_0204,0,0,"","","",""
3015,3,11,105511,"哇，摆着好多看上去很好吃的\n点心……这里有前辈\n做的点心吗？",8,1,0,0,0,0.5
3016,3,91,0,"","","","","","",""
3017,3,3,105511,psy_talk_call,1,"","",0.2,"",""
3018,3,21,vo_minigame_1008,vo_minigame_1008_drama_0205,0,0,"","","",""
3019,3,11,105511,"这个……请给我一份这种点心。\n那个～不好意思～\n没听见吗？",8,1,0,0,0,0.5
3020,3,93,3,1,"","","","","",""
3021,3,12,119931,5,0.8,1,0,0,0,0
3022,3,4,119931,0,"","","","","",""
3023,3,3,119931,psy_miyako_idle_thinking,1,"","",0,"",""
3024,3,93,1.5,1,"","","","","",""
3025,3,4,119931,1,"","","","","",""
3026,3,3,119931,psy_miyako_gasagoso_B,1,"","",0,"",""
3027,3,93,0.5,1,"","","","","",""
3028,3,3,105511,psy_talk_sad,1,"","",0.2,"",""
3029,3,91,3019,"","","","","","",""
3030,3,3,105511,psy_talk_wish,1,"","",0.2,"",""
3031,3,21,vo_minigame_1008,vo_minigame_1008_drama_0206,0,0,"","","",""
3032,3,11,105511,"总、总之就把钱放在这里吧，\n先告辞了！",8,1,0,0,0,0.5
3033,3,93,2,1,"","","","","",""
3034,3,3,105511,psy_gasagoso_B2,1,"","",0.2,"",""
3035,3,93,1,1,"","","","","",""
3036,3,3,105511,psy_pekori,0,psy_idle_normal,1,0.2,0.2,""
3037,3,91,3032,"","","","","","",""
3038,3,4,105511,0,"","","","","",""
3039,3,3,105511,psy_run,1,"","",0.2,"",""
3040,3,2,105511,1000,-180,3,0,"","",""
3041,3,93,3,"","","","","","",""
3042,3,93,0.5,"","","","","","",""
3043,3,3,119931,psy_miyako_idle_thinking,1,"","",0,"",""
3044,3,93,2,"","","","","","",""
3045,3,4,119931,0,"","","","","",""
3046,3,3,119931,psy_miyako_run,1,"","",0.2,"",""
3047,3,2,119931,0,-165,2,0,"","",""
3048,3,93,2,"","","","","","",""
3049,3,3,119931,psy_miyako_thinking4,1,"","",0.2,"",""
3050,3,21,vo_minigame_1008,vo_minigame_1008_drama_0201,0,0,"","","",""
3051,3,11,119931,"嗯？\n怎么突然多了一笔钱！\n刚才明明还没有的啊！\n好恐怖！难道是有幽灵？",4,1,0,0,0,0.5
3052,3,93,8,1,"","","","","",""
3053,3,3,119931,psy_miyako_panic1,1,"","",0.2,"",""
3054,3,91,3051,"","","","","","",""
3055,3,22,0,0,"","","","","",""
3056,3,3,119931,psy_miyako_surprise2_in,0,psy_miyako_surprise2_loop,1,0.2,0,""
3057,3,21,vo_minigame_1008,vo_minigame_1008_drama_0202,0,0,"","","",""
3058,3,11,119931,"！\n突然有做布丁的灵感了！\n但是，脑海里浮现的这张脸，我没有印象。\n这家伙……到底是谁？",4,1,0,0,0,1
3059,3,93,8,1,"","","","","",""
3060,3,3,119931,psy_miyako_thinking4,1,"","",0.2,"",""
3061,3,91,3058,"","","","","","",""
3062,3,22,0,0,"","","","","",""
3063,3,93,1,"","","","","","",""
3064,3,91,0,"","","","","","",""
4001,4,1,1,119931,100,-300,-200,1.7,0,psy_miyako_start
4002,4,1,1,107131,100,300,-220,1.7,1,psy_walk
4003,4,31,1,11,0,0,1,1,"",""
4004,4,5,1,1,101,-300,-200,1.7,0,psy_smoke_start
4005,4,2,107131,185,-220,2,0,"","",""
4006,4,93,2,"","","","","","",""
4007,4,3,107131,psy_talk_doya,0,psy_talk_doya_loop,1,0.2,0.2,""
4008,4,21,vo_minigame_1008,vo_minigame_1008_drama_0405,0,0,"","","",""
4009,4,11,107131,"听说这家店最近很热门，\n所以我克莉丝提娜大驾光临了哦☆",8,1,0,0,0,0.5
4010,4,91,0,"","","","","","",""
4011,4,3,107131,psy_idle_doya,1,"","",0.2,"",""
4012,4,3,107131,psy_talk_sad,1,"","",0.2,"",""
4013,4,21,vo_minigame_1008,vo_minigame_1008_drama_0406,0,0,"","","",""
4014,4,11,107131,"唔？这不是没人吗。\n难得我想买点慰问品\n送给慈乐之音。\n喂，有人在吗？",8,1,0,0,0,0.5
4015,4,93,6,1,"","","","","",""
4016,4,3,107131,psy_talk_call,1,"","",0.2,"",""
4017,4,91,4014,"","","","","","",""
4018,4,3,107131,psy_idle_arm_crossed,1,"","",0.2,"",""
4019,4,3,119931,psy_miyako_appear,0,psy_miyako_talk_joy1,1,0,0.2,""
4020,4,3,1,psy_smoke_appear,0,psy_smoke_start,0,0,0,""
4021,4,21,vo_minigame_1008,vo_minigame_1008_drama_0401,0,0,"","","",""
4022,4,11,119931,"啊！是你！\n是那个给了我大布丁的人！\n你又来给宫子送布丁了吗？",4,1,0,0,0,0.5
4023,4,91,0,"","","","","","",""
4024,4,22,0,0,"","","","","",""
4025,4,3,119931,psy_miyako_idle,1,"","",0.2,"",""
4026,4,3,107131,psy_talk_normal,1,"","",0.2,"",""
4027,4,21,vo_minigame_1008,vo_minigame_1008_drama_0407,0,0,"","","",""
4028,4,11,107131,"你是……啊，\n在某个圣诞节的时候见过对吧。\n我今天不是来当圣诞老人的，\n是来当客人的。",8,1,0,0,0,0.5
4029,4,91,0,"","","","","","",""
4030,4,3,107131,psy_idle_normal,1,"","",0.2,"",""
4031,4,3,119931,psy_miyako_sad1,1,"","",0.2,"",""
4032,4,21,vo_minigame_1008,vo_minigame_1008_drama_0402,0,0,"","","",""
4033,4,11,119931,"既然不给我布丁，那我就对你没兴趣了。\n奶奶也出门了，\n改天再来吧。",6,1,0,0,0,0.5
4034,4,93,5,1,"","","","","",""
4035,4,3,119931,psy_miyako_talk4,1,"","",0.2,"",""
4036,4,91,4033,"","","","","","",""
4037,4,22,0,0,"","","","","",""
4038,4,3,119931,psy_miyako_idle2,1,"","",0.2,"",""
4039,4,3,107131,psy_ahaha_in,0,psy_ahaha_loop,1,0.2,0.2,""
4040,4,21,vo_minigame_1008,vo_minigame_1008_drama_0408,0,0,"","","",""
4041,4,11,107131,"哈哈哈！\n对着我克莉丝提娜，\n居然语气这么嚣张。有趣☆",8,1,0,0,0,0.5
4042,4,93,1.7,1,"","","","","",""
4043,4,3,107131,psy_talk_joy1,1,"","",0.2,"",""
4044,4,91,4041,"","","","","","",""
4045,4,3,107131,psy_talk_doya,0,psy_talk_doya_loop,1,0.2,0.2,""
4046,4,21,vo_minigame_1008,vo_minigame_1008_drama_0409,0,0,"","","",""
4047,4,11,107131,"我无论如何都要\n从你手上买到点心。",8,1,0,0,0,0.5
4048,4,91,0,"","","","","","",""
4049,4,3,107131,psy_idle_wish,1,"","",0.2,"",""
4050,4,3,119931,psy_miyako_panic1,1,"","",0.2,"",""
4051,4,21,vo_minigame_1008,vo_minigame_1008_drama_0403,0,0,"","","",""
4052,4,11,119931,"为什么会变成这样！？\n好了，快回去吧！",6,1,0,0,0,0.5
4053,4,91,0,"","","","","","",""
4054,4,22,0,0,"","","","","",""
4055,4,3,119931,psy_miyako_idle_panic,1,"","",0.2,"",""
4056,4,3,107131,psy_cris_approach_in,0,psy_cris_approach_loop,1,0.2,0,""
4057,4,21,vo_minigame_1008,vo_minigame_1008_drama_0410,0,0,"","","",""
4058,4,11,107131,"呵，这里不是有\n做到一半的布丁吗。\n嗯……送亲手做的食物\n感觉对方也会开心。",8,1,0,0,0,0.5
4059,4,93,4,1,"","","","","",""
4060,4,3,107131,psy_talk_arm_crossed,0,psy_talk_arm_crossed_loop,1,0.2,0,""
4061,4,91,4058,"","","","","","",""
4062,4,3,107131,psy_talk_joy1,1,"","",0.2,"",""
4063,4,21,vo_minigame_1008,vo_minigame_1008_drama_0411,0,0,"","","",""
4064,4,11,107131,"很好！我自己来做布丁吧！\n你也来帮忙。\n就当作是圣诞节的回礼。",8,1,0,0,0,0.5
4065,4,91,0,"","","","","","",""
4066,4,3,107131,psy_idle_joy1,1,"","",0.2,"",""
4067,4,3,119931,psy_miyako_anger2,1,"","",0.2,"",""
4068,4,21,vo_minigame_1008,vo_minigame_1008_drama_0404,0,0,"","","",""
4069,4,11,119931,"为、为什么会变成这样！？",6,1,0,0,0,0.5
4070,4,93,4,"","","","","","",""
4071,4,91,0,"","","","","","",""
5001,5,1,1,119931,100,-300,-200,1.7,0,psy_miyako_start
5002,5,1,1,104931,100,300,-220,1.7,1,psy_walk
5003,5,31,1,11,0,0,1,1,"",""
5004,5,5,1,1,101,-300,-200,1.7,0,psy_smoke_start
5005,5,2,104931,185,-220,2,0,"","",""
5006,5,93,2,"","","","","","",""
5007,5,3,104931,psy_talk_wish,1,"","",0.2,"",""
5008,5,21,vo_minigame_1008,vo_minigame_1008_drama_0504,0,0,"","","",""
5009,5,11,104931,"这里就是弟弟和小璃乃\n在打工的点心店吧！\n弟弟！姐姐来了哦！",8,1,0,0,0,0.5
5010,5,93,4.3,1,"","","","","",""
5011,5,3,104931,psy_talk_joy1,1,"","",0.2,"",""
5012,5,91,5009,"","","","","","",""
5013,5,3,104931,psy_idle_joy1,1,"","",0.2,"",""
5014,5,3,119931,psy_miyako_appear,0,psy_miyako_talk3,1,0,0.2,""
5015,5,3,1,psy_smoke_appear,0,psy_smoke_start,0,0,0,""
5016,5,21,vo_minigame_1008,vo_minigame_1008_drama_0501,0,0,"","","",""
5017,5,11,119931,"吵死了。\n怎么这么突然？",6,1,0,0,0,0.5
5018,5,91,0,"","","","","","",""
5019,5,22,0,0,"","","","","",""
5020,5,3,119931,psy_miyako_idle,1,"","",0.2,"",""
5021,5,3,104931,psy_talk_joy1,1,"","",0.2,"",""
5022,5,21,vo_minigame_1008,vo_minigame_1008_drama_0505,0,0,"","","",""
5023,5,11,104931,"啊！你是小宫子吧？\n我听小璃乃提过你！\n你好，初次见面。我是那家伙的姐姐！",8,1,0,0,0,0.5
5024,5,93,4,"","","","","","",""
5025,5,3,104931,psy_talk_wish,1,"","",0.2,"",""
5026,5,91,5023,"","","","","","",""
5027,5,91,0,"","","","","","",""
5028,5,3,104931,psy_idle_wish,1,"","",0.2,"",""
5029,5,3,119931,psy_miyako_anger3,1,"","",0.2,"",""
5030,5,21,vo_minigame_1008,vo_minigame_1008_drama_0502,0,0,"","","",""
5031,5,11,119931,"不管你是不是那家伙的姐姐\n都和我没关系。\n宫子正忙着做布丁呢。",5,1,0,0,0,0.5
5032,5,93,8,1,"","","","","",""
5033,5,3,119931,psy_miyako_arm_crossed_in,0,psy_miyako_arm_crossed_loop,1],0.2,0,""
5034,5,91,5031,"","","","","","",""
5035,5,22,0,0,"","","","","",""
5036,5,3,119931,psy_miyako_arm_crossed_idle,1,"","",0.2,"",""
5037,5,3,104931,psy_talk_wish,1,"","",0.2,"",""
5038,5,21,vo_minigame_1008,vo_minigame_1008_drama_0506,0,0,"","","",""
5039,5,11,104931,"还是第一次有人这么冷淡，\n姐姐我有点\n伤心呢！\n不是说爱的反面是漠不关心吗！",8,1,0,0,0,0.5
5040,5,91,0,"","","","","","",""
5041,5,3,104931,psy_talk_joy2,1,"","",0.2,"",""
5042,5,21,vo_minigame_1008,vo_minigame_1008_drama_0507,0,0,"","","",""
5043,5,11,104931,"好！\n现在开始给小宫子\n说说弟弟和姐姐之间的\n爱与命运的故事吧！",8,1,0,0,0,0.5
5044,5,91,0,"","","","","","",""
5045,5,3,104931,psy_talk_memory,1,"","",0.2,"",""
5046,5,21,vo_minigame_1008,vo_minigame_1008_drama_0508,0,0,"","","",""
5047,5,11,104931,"首先从我们命运般的邂逅开始……",8,1,0,0,0,0.5
5048,5,91,0,"","","","","","",""
5049,5,3,104931,psy_idle_memory,1,"","",0.2,"",""
5050,5,3,119931,psy_miyako_sad1,1,"","",0.2,"",""
5051,5,21,vo_minigame_1008,vo_minigame_1008_drama_0503,0,0,"","","",""
5052,5,11,119931,"（好像有什么要开始了……\n好麻烦，宫子还是先溜了吧……）",6,1,0,0,0,0.5
5053,5,91,0,"","","","","","",""
5054,5,22,0,0,"","","","","",""
5055,5,3,119931,psy_miyako_hide,0,"","",0.2,"",""
5056,5,3,1,psy_smoke_hide,0,psy_smoke_start,0,0,0,""
5057,5,93,2,"","","","","","",""
5058,5,91,0,"","","","","","",""
6001,6,1,1,119931,100,-300,-200,1.7,1,psy_miyako_idle_thinking
6002,6,1,1,103131,100,300,-220,1.7,1,psy_walk
6003,6,31,1,11,0,0,1,1,"",""
6004,6,12,119931,17,2,0,0,0,0,0
6005,6,2,103131,185,-220,2,0,"","",""
6006,6,93,2,"","","","","","",""
6007,6,3,103131,psy_talk_wish,1,"","",0.2,"",""
6008,6,21,vo_minigame_1008,vo_minigame_1008_drama_0605,0,0,"","","",""
6009,6,11,103131,"你好。\n听说宫子小姐\n在这家点心店帮忙，\n我来看看情况。",8,1,0,0,0,0.5
6010,6,91,0,"","","","","","",""
6011,6,3,103131,psy_idle_wish,1,"","",0.2,"",""
6012,6,4,119931,0,"","","","","",""
6013,6,3,119931,psy_miyako_surprise2_in,0,psy_miyako_talk_joy2,1,0.2,0.2,""
6014,6,93,1,"","","","","","",""
6015,6,21,vo_minigame_1008,vo_minigame_1008_drama_0601,0,0,"","","",""
6016,6,11,119931,"忍！你来得正好！\n宫子遇到一点麻烦了呢！",5,1,0,0,0,0.5
6017,6,93,7,1,"","","","","",""
6018,6,3,119931,psy_miyako_talk2,1,"","",0.2,"",""
6019,6,91,6016,"","","","","","",""
6020,6,22,0,0,"","","","","",""
6021,6,3,119931,psy_miyako_idle_sad,1,"","",0.2,"",""
6022,6,3,103131,psy_talk_sad,1,"","",0.2,"",""
6023,6,21,vo_minigame_1008,vo_minigame_1008_drama_0606,0,0,"","","",""
6024,6,11,103131,"是怎么回事？\n啊，难道你把要卖的布丁\n吃掉了？\n要是这样，我和你一起去给人道歉吧。",8,1,0,0,0,0.5
6025,6,91,0,"","","","","","",""
6026,6,3,103131,psy_idle_sad,1,"","",0.2,"",""
6027,6,3,119931,psy_miyako_panic3,1,"","",0.2,"",""
6028,6,21,vo_minigame_1008,vo_minigame_1008_drama_0602,0,0,"","","",""
6029,6,11,119931,"不是的！宫子现在要做一种\n究极的布丁！\n但是想不到\n好点子……",3,1,0,0,0,0.5
6030,6,93,8.5,1,"","","","","",""
6031,6,3,119931,psy_miyako_sad2,1,"","",0.2,"",""
6032,6,91,6029,"","","","","","",""
6033,6,22,0,0,"","","","","",""
6034,6,3,119931,psy_miyako_idle_sad,1,"","",0.2,"",""
6035,6,3,103131,psy_surprise,0,psy_talk_surprise1,1,0.2,0.2,""
6036,6,21,vo_minigame_1008,vo_minigame_1008_drama_0607,0,0,"","","",""
6037,6,11,103131,"宫子小姐……想自己……\n做布丁……",8,1,0,0,0,0.5
6038,6,91,0,"","","","","","",""
6039,6,3,103131,psy_idle_surprise1,1,"","",0.2,"",""
6040,6,3,119931,psy_miyako_talk2,1,"","",0.2,"",""
6041,6,21,vo_minigame_1008,vo_minigame_1008_drama_0603,0,0,"","","",""
6042,6,11,119931,"这是怎么了？",6,1,0,0,0,0.5
6043,6,91,0,"","","","","","",""
6044,6,22,0,0,"","","","","",""
6045,6,3,119931,psy_miyako_idle,1,"","",0.2,"",""
6046,6,3,103131,psy_talk_joy1,1,"","",0.2,"",""
6047,6,21,vo_minigame_1008,vo_minigame_1008_drama_0608,0,0,"","","",""
6048,6,11,103131,"呵呵，没事。没什么啦。\n虽然不知道我能不能帮到你，\n但我会尽全力帮忙的。",8,1,0,0,0,0.5
6049,6,93,4,1,"","","","","",""
6050,6,3,103131,psy_talk_wish,1,"","",0.2,"",""
6051,6,91,6048,"","","","","","",""
6052,6,3,103131,psy_idle_wish,1,"","",0.2,"",""
6053,6,3,119931,psy_miyako_joy1,1,"","",0.2,"",""
6054,6,21,vo_minigame_1008,vo_minigame_1008_drama_0604,0,0,"","","",""
6055,6,11,119931,"谢谢！\n忍和宫子的组合就是最强的！\n绝对能做出\n好吃的布丁！",4,1,0,0,0,0.5
6056,6,93,8,1,"","","","","",""
6057,6,3,119931,psy_miyako_guts1_in,0,psy_miyako_guts1_loop,1,0.2,0,""
6058,6,91,6055,"","","","","","",""
6059,6,22,0,0,"","","","","",""
6060,6,93,1.5,"","","","","","",""
6061,6,91,0,"","","","","","",""
7001,7,1,1,119931,100,-200,-200,1.7,0,psy_miyako_idle
7002,7,5,1,1,100,125,-220,1.7,0,psy_fairy_idle
7003,7,31,1,11,0,0,1,1,"",""
7004,7,93,2,"","","","","","",""
7005,7,3,1,psy_fairy_talk,1,"","",0.2,"",""
7006,7,21,vo_minigame_1008,vo_minigame_1008_drama_9902,0,0,"","","",""
7007,7,11,1,"啾啾！",6,1,0,0,0,0.5
7008,7,91,0,"","","","","","",""
7009,7,3,1,psy_fairy_idle,1,"","",0.2,"",""
7010,7,3,119931,psy_miyako_talk3,1,"","",0.2,"",""
7011,7,21,vo_minigame_1008,vo_minigame_1008_drama_0702,0,0,"","","",""
7012,7,11,119931,"吵死了！别碍事！\n宫子正忙着思考怎么做\n究极的布丁呢！",4,1,0,0,0,1
7013,7,93,7,1,"","","","","",""
7014,7,3,119931,psy_miyako_arm_crossed_in,0,psy_miyako_arm_crossed_loop,1,0.2,0,""
7015,7,91,7012,"","","","","","",""
7016,7,22,0,0,"","","","","",""
7017,7,3,1,psy_fairy_talk,1,"","",0.2,"",""
7018,7,21,vo_minigame_1008,vo_minigame_1008_drama_9903,0,0,"","","",""
7019,7,11,1,"啾啾～！",6,1,0,0,0,0.5
7020,7,91,0,"","","","","","",""
7021,7,3,1,psy_fairy_idle,1,"","",0.2,"",""
7022,7,3,119931,psy_miyako_anger2,1,"","",0.2,"",""
7023,7,21,vo_minigame_1008,vo_minigame_1008_drama_0704,0,0,"","","",""
7024,7,11,119931,"就算你这么说，我也不知道啊！",6,1,0,0,0,0.5
7025,7,91,0,"","","","","","",""
7026,7,22,0,0,"","","","","",""
7027,7,3,119931,psy_miyako_thinking3,1,"","",0.2,"",""
7028,7,21,vo_minigame_1008,vo_minigame_1008_drama_0705,0,0,"","","",""
7029,7,11,119931,"嗯……\n不过试一试好像也不错。\n因为宫子很温柔，\n可以听一听你的建议！",3,1,0,0,0,0.5
7030,7,93,8,1,"","","","","",""
7031,7,3,119931,psy_miyako_doya_in,0,psy_miyako_doya_loop,1,0.2,0,""
7032,7,91,7029,"","","","","","",""
7033,7,22,0,0,"","","","","",""
7034,7,93,1,"","","","","","",""
7035,7,91,0,"","","","","","",""
8001,8,1,1,119931,100,-300,-200,1.7,0,psy_miyako_start
8002,8,1,1,100411,100,225,-210,1.7,1,psy_walk2
8003,8,1,1,103631,105,480,-220,1.7,1,psy_walk3
8004,8,1,1,102011,110,340,-235,1.7,1,psy_walk_glad
