story_id,story_group_id,title,sub_title,visible_type,story_end,pre_story_id,love_level,requirement_id,unlock_quest_id,story_quest_id,chara_index,condition_event_quest_id,condition_event_boss_id,reward_type_1,reward_id_1,reward_value_1,reward_type_2,reward_id_2,reward_value_2,reward_type_3,reward_id_3,reward_value_3,start_time,end_time
6017209,6017,"与雷姆的信赖度章节","雷姆眼中的\n爱蜜莉雅",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017210,6017,"与雷姆的信赖度章节","因为这是便携式的",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017301,6017,"与拉姆的信赖度章节","喜欢的食物",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017302,6017,"与拉姆的信赖度章节","有兄弟姐妹吗？",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017303,6017,"与拉姆的信赖度章节","拉姆她们的世界",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017304,6017,"与拉姆的信赖度章节","女仆装\n很罕见？",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017305,6017,"与拉姆的信赖度章节","想了解雷姆",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017306,6017,"与拉姆的信赖度章节","拉姆擅长的魔法",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017307,6017,"与拉姆的信赖度章节","拉姆眼中的\n爱蜜莉雅",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017308,6017,"与拉姆的信赖度章节","拉姆的千里眼",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017309,6017,"与拉姆的信赖度章节","有很多称呼",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
6017310,6017,"与拉姆的信赖度章节","努力打工的\n理由",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"2021/04/17 9:00:00","2099/12/31 23:59:59"
