quest_id,dungeon_area_id,difficulty,floor_num,quest_type,wave_group_id,limit_time,parts_hp_save_flag,energy_reset_flag,fixed_start_tp_rate,emax,reward_image_1,reward_image_2,reward_image_3,reward_image_4,reward_image_5,reward_image_6,reward_coin,reward_csc,chest_id,odds_group_id,background,dungeon_quest_detail_bg_id,dungeon_quest_detail_bg_position,dungeon_quest_detail_monster_size,dungeon_quest_detail_monster_position_x_1,dungeon_quest_detail_monster_position_x_2,dungeon_quest_detail_monster_position_x_3,dungeon_quest_detail_monster_position_x_4,dungeon_quest_detail_monster_position_x_5,dungeon_quest_detail_monster_height,multi_target_effect_time,wave_bgm_sheet_id_1,wave_bgm_que_id_1
320010307,32001,3,7,5,502001321,90,0,1,200,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
320010308,32001,3,8,3,502001331,90,0,1,200,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010309,32001,3,9,3,502001341,90,0,1,200,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010310,32001,3,10,3,502001351,90,1,1,200,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102852,102852,-50,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,bgm_M63,bgm_M63
320010401,32001,4,1,1,0,90,0,0,300,0,90002,90008,94002,140001,25001,0,600,20,40004,3200101,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010402,32001,4,2,1,0,90,0,0,300,0,90002,90008,94002,140001,25001,0,800,20,40004,3200101,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010403,32001,4,3,1,0,90,0,0,300,0,90002,90008,94002,140001,25001,0,800,20,40004,3200102,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010404,32001,4,4,1,0,90,0,0,300,0,90002,90008,94002,140001,25001,0,1200,20,40004,3200103,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010405,32001,4,5,1,0,90,0,0,300,0,90002,90008,94002,140001,25001,90005,1200,20,40004,3200104,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010406,32001,4,6,5,502001411,90,0,1,300,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
320010407,32001,4,7,5,502001421,90,0,1,300,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
320010408,32001,4,8,3,502001431,90,0,1,300,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010409,32001,4,9,3,502001441,90,0,1,300,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010410,32001,4,10,3,502001451,90,1,1,300,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102852,102852,-50,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,bgm_M63,bgm_M63
320010501,32001,5,1,1,0,90,0,0,400,0,90002,90008,94002,140001,25001,0,600,20,40004,3200101,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010502,32001,5,2,1,0,90,0,0,400,0,90002,90008,94002,140001,25001,0,800,20,40004,3200101,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010503,32001,5,3,1,0,90,0,0,400,0,90002,90008,94002,140001,25001,0,800,20,40004,3200102,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010504,32001,5,4,1,0,90,0,0,400,0,90002,90008,94002,140001,25001,0,1200,20,40004,3200103,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010505,32001,5,5,1,0,90,0,0,400,0,90002,90008,94002,140001,25001,90005,1200,20,40004,3200104,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010506,32001,5,6,5,502001511,90,0,1,400,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
320010507,32001,5,7,5,502001521,90,0,1,400,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
320010508,32001,5,8,3,502001531,90,0,1,400,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010509,32001,5,9,3,502001541,90,0,1,400,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010510,32001,5,10,3,502001551,90,1,1,400,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102852,102852,-50,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,bgm_M63,bgm_M63
