unit_id,unit_name,bg_id,bg_name,position,face_type
108601,"绫音（圣诞节）",500114,"咲恋救济院_大厅_圣诞节",0.0,4
108701,"日和莉（新年）",500553,"新年神殿",0.0,4
108801,"优衣（新年）",500553,"新年神殿",0.0,4
108901,"怜（新年）",500553,"新年神殿",0.0,2
109001,"惠理子（情人节）",500600,"厨房竞技场",0.0,4
109101,"静流（情人节）",500600,"厨房竞技场",0.0,4
109201,"安",500133,"埃斯特雷拉街道",0.0,2
109301,"露",500133,"埃斯特雷拉街道",0.0,4
109401,"古蕾雅",500133,"埃斯特雷拉街道",0.0,4
109501,"空花（大江户）",500650,"大江户的巷子",0.0,4
109601,"妮侬（大江户）",500650,"大江户的巷子",0.0,2
109701,"雷姆",500175,"神秘森林",0.0,2
109801,"拉姆",500175,"神秘森林",0.0,12
109901,"爱蜜莉雅",500175,"神秘森林",0.0,2
110001,"铃奈（夏日）",500683,"海_舞台",0.0,4
110101,"伊绪（夏日）",500683,"海_舞台",0.0,2
110301,"咲恋（夏日）",500164,"马尔冈海岸",0.0,2
110401,"真琴（夏日）",500710,"琉球风海岸",0.0,6
110501,"香织（夏日）",500710,"琉球风海岸",0.0,4
110601,"真步（夏日）",500710,"琉球风海岸",0.0,4
110701,"碧（插班生）",500730,"圣特蕾莎女子学院_正门",0.0,2
110801,"克罗依",500730,"圣特蕾莎女子学院_正门",0.0,2
110901,"千爱瑠",500730,"圣特蕾莎女子学院_正门",0.0,2
111001,"优妮",500730,"圣特蕾莎女子学院_正门",0.0,4
111101,"镜华（万圣节）",500811,"宅邸_大厅",0.0,2
111201,"未奏希（万圣节）",500811,"宅邸_大厅",0.0,4
111301,"美美（万圣节）",500811,"宅邸_大厅",0.0,4
111401,"露娜",500175,"神秘森林",0.0,4
111501,"克莉丝提娜（圣诞节）",500038,"兰德索尔_繁华街_圣诞节",0.0,4
111601,"望（圣诞节）",500038,"兰德索尔_繁华街_圣诞节",0.0,4
111701,"伊莉亚（圣诞节）",500038,"兰德索尔_繁华街_圣诞节",0.0,4
111801,"佩可莉姆（新年）",500910,"兰德索尔_繁华街_驿站接力",0.0,2
111901,"可可萝（新年）",500910,"兰德索尔_繁华街_接力",0.0,2
112001,"凯露（新年）",500910,"兰德索尔_繁华街_接力",0.0,6
112101,"铃莓（新年）",500910,"兰德索尔_繁华街_接力",0.0,2
112201,"香澄（魔法少女）",500010,"兰德索尔_市区_白天",0.0,2
112301,"栞（魔法少女）",500010,"兰德索尔_市区_白天",0.0,2
112401,"卯月（偶像大师）",500920,"缪斯镇_白天",0.0,4
112501,"凛（偶像大师）",500920,"缪斯镇_白天",0.0,2
112601,"未央（偶像大师）",500920,"缪斯镇_白天",0.0,4
112701,"铃（游骑兵）",500995,"牧场 白天",0.0,2
112801,"真阳（游骑兵）",500995,"牧场 白天",0.0,2
112901,"璃乃（仙境）",501000,"书的世界_平原",0.0,4
113001,"步美（仙境）",501000,"书的世界_平原",0.0,2
113101,"流夏（夏日）",501030,"心愿海滩",0.0,6
113201,"杏奈（夏日）",501030,"心愿海滩",0.0,4
113301,"七七香（夏日）",501030,"心愿海滩",0.0,4
113401,"初音（夏日）",501100,"沙滩广场",0.0,4
113501,"美里（夏日）",501100,"沙滩广场",0.0,4
113601,"纯（夏日）",500164,"马尔冈海岸",0.0,2
113701,"茜里（天使）",500010,"兰德索尔_市区_白天",0.0,4
113801,"依里（天使）",500010,"兰德索尔_市区_白天",0.0,2
113901,"纺希（万圣节）",501130,"万圣节公园_白天",0.0,4
114001,"怜（万圣节）",501130,"万圣节公园_白天",0.0,3
114101,"茉莉（万圣节）",501130,"万圣节公园_白天",0.0,4
114201,"莫妮卡（魔法少女）",500010,"兰德索尔_市区_白天",0.0,4
114301,"智（魔法少女）",500010,"兰德索尔_市区_白天",0.0,2
114401,"秋乃（圣诞节）",500874,"舞台_圣诞节_白天",0.0,4
114501,"咲恋（圣诞节）",500874,"舞台_圣诞节_白天",0.0,2
114601,"由加莉（圣诞节）",500874,"舞台_圣诞节_白天",0.0,2
114701,"矛依未（新年）",501162,"大间镇_白天",0.0,4
115001,"似似花（新年）",501162,"大间镇_白天",0.0,2
115501,"可可萝（礼服）",500140,"普拉诺平原",0.0,4
115601,"优衣（礼服）",500140,"普拉诺平原",0.0,17
115701,"香澄（夏日）",500160,"马尔冈海岸",0.0,4
115801,"莉玛（灰姑娘）",500130,"埃斯特雷拉街道",0.0,4
115901,"真琴（灰姑娘）",500130,"埃斯特雷拉街道",0.0,4
116001,"真步（灰姑娘）",500060,"自卫团 据点",0.0,4
116201,"克罗依（圣学祭）",500732,"圣特蕾莎女子学院_正门_圣学祭",0.0,2
116301,"千爱瑠（圣学祭）",500732,"圣特蕾莎女子学院_正门_圣学祭",0.0,2
116501,"祈梨（时间旅行）",500010,"兰德索尔_市区_白天",0.0,18
170101,"环奈",500130,"埃斯特雷拉街道",0.0,3
170201,"环奈（振袖）",500553,"新年神殿",0.0,4
180101,"日和莉（公主）",500130,"埃斯特雷拉街道",0.0,2
180201,"优衣（公主）",500130,"埃斯特雷拉街道",0.0,4
180401,"佩可莉姆（公主）",500130,"埃斯特雷拉街道",0.0,4
180501,"可可萝（公主）",500130,"埃斯特雷拉街道",0.0,2
180601,"凯露（公主）",500130,"埃斯特雷拉街道",0.0,18
