unit_id,promotion_level,equip_slot_1,equip_slot_2,equip_slot_3,equip_slot_4,equip_slot_5,equip_slot_6
100301,8,104013,104012,104312,104401,104551,103553
100301,9,104014,104013,104402,104432,104552,104551
100301,10,105011,104014,104284,104402,104554,104552
100301,11,105012,105011,105281,104284,105551,104553
100301,12,105013,105012,105431,105281,105552,105551
100301,13,105014,105013,105343,105282,105553,105552
100301,14,105015,105014,105314,105283,105554,105553
100301,15,105016,105015,105285,105284,105555,105554
100301,16,105017,105016,105286,105285,105556,105555
100301,17,106011,105017,105287,105286,105557,105556
100301,18,106012,106011,106281,105287,106551,105557
100301,19,106013,106012,106282,106281,106552,106551
100301,20,999999,106013,999999,106282,106553,106552
100401,1,101101,101101,101281,101431,101581,101581
100401,2,102101,102071,102341,102431,101581,101581
100401,3,103071,102101,102342,102432,102581,102581
100401,4,103101,103071,103341,103431,102582,102582
100401,5,103072,103101,103342,103432,103551,103581
100401,6,104101,103072,103343,103432,103552,103582
100401,7,104102,104101,104341,103583,103583,103552
100401,8,104103,104102,104342,104431,104581,103583
100401,9,104104,104103,104343,104432,104582,104581
100401,10,105101,104104,104433,104343,104583,104582
100401,11,105102,105101,105401,104433,105581,104583
100401,12,105103,105102,105312,105401,105552,105581
100401,13,105104,105103,105283,105431,105553,105582
100401,14,105105,105104,105432,105491,105554,105583
100401,15,105106,105105,105345,105432,105555,105584
100401,16,105107,105106,105346,105345,105556,105585
100401,17,106101,105107,105347,105346,105557,105586
100401,18,106102,106101,106281,105347,106551,105587
100401,19,106103,106102,106282,106281,106552,106581
100401,20,999999,106103,999999,106282,106553,106582
100501,1,101071,101401,101281,101401,101581,101581
100501,2,102013,102491,102281,102431,101581,101581
100501,3,103071,102401,102282,102401,102581,102581
100501,4,103012,103431,103311,103431,102582,102582
100501,5,103072,103401,103282,103401,103581,103581
100501,6,104071,103072,103283,103401,103582,103582
100501,7,104072,104401,104281,103583,103583,103582
100501,8,104073,104072,104432,104401,104581,103583
100501,9,104074,104073,104402,104282,104582,104581
100501,10,105071,104074,104284,104402,104583,104582
100501,11,105072,105071,105311,104284,105581,104583
100501,12,105073,105072,105431,105281,105582,105581
100501,13,105074,105073,105283,105282,105583,105582
100501,14,105075,105074,105432,105283,105584,105583
100501,15,105076,105075,105402,105284,105585,105584
100501,16,105077,105076,105433,105402,105586,105585
100501,17,106071,105077,105403,105433,105587,105586
100501,18,106072,106071,106401,105403,106581,105587
100501,19,106073,106072,106431,106401,106582,106581
100501,20,999999,106073,999999,106431,106583,106582
100601,1,101251,101251,101371,101521,101611,101581
100601,2,102252,102251,102371,102461,101611,101581
100601,3,103251,102252,102372,102521,102612,102581
100601,4,103252,103251,103521,103521,102614,102582
100601,5,103222,103252,103371,103461,103612,103581
100601,6,104251,103222,103372,103522,103613,103582
100601,7,104252,104521,104371,103614,103583,103613
100601,8,104253,104252,104372,104461,104581,103614
100601,9,104254,104253,104523,104372,104612,104581
100601,10,105251,104254,104373,104523,104613,104582
100601,11,105252,105251,105371,104463,105611,104583
100601,12,105253,105252,105372,105521,105612,105581
100601,13,105254,105253,105373,105522,105613,105582
100601,14,105255,105254,105374,105462,105614,105583
100601,15,105256,105255,105463,105374,105615,105584
100601,16,105257,105256,105524,105463,105616,105585
100601,17,106251,105257,105464,105524,105617,105586
100601,18,106252,106251,106461,105464,106611,105587
100601,19,106253,106252,106521,106461,106612,106581
100601,20,999999,106253,999999,106521,106613,106582
100701,1,101161,101281,101431,101431,101581,101581
100701,2,102163,102162,102341,102431,101581,101581
100701,3,103161,102432,102342,102432,102581,102581
100701,4,103162,103161,103341,103431,102582,102582
100701,5,103343,103162,103432,103162,103581,103581
100701,6,104161,103583,103343,103432,103582,103582
100701,7,104162,104431,104341,103583,103583,103432
100701,8,104163,104162,104342,104431,104581,103583
100701,9,104164,104163,104343,104342,104582,104581
100701,10,105161,104164,104433,104343,104583,104582
100701,11,105162,105161,105341,104433,105581,104583
100701,12,105163,105162,105342,105341,105582,105581
100701,13,105164,105163,105343,105342,105583,105582
100701,14,105165,105164,105432,105343,105584,105583
100701,15,105166,105165,105345,105344,105585,105584
100701,16,105167,105166,105346,105345,105586,105585
100701,17,106161,105167,105347,105346,105587,105586
100701,18,106162,106161,106341,105347,106581,105587
100701,19,106163,106162,106342,106341,106582,106581
100701,20,999999,106073,999999,106342,106583,106582
100801,1,101251,101251,101371,101521,101611,101581
100801,2,102252,102251,102371,102461,101611,101581
100801,3,103251,102252,102372,102521,102612,102581
100801,4,103252,103251,103521,103521,102614,102582
100801,5,103222,103252,103371,103461,103612,103581
100801,6,104251,103222,103372,103522,103613,103582
100801,7,104252,104251,104371,103614,103614,103582
100801,8,104253,104252,104372,104461,104581,103614
100801,9,104254,104253,104523,104522,104582,104611
100801,10,105251,104254,104373,104462,104613,104612
100801,11,105252,105251,105371,104463,105611,104613
100801,12,105253,105252,105372,105521,105612,105611
100801,13,105254,105253,105373,105522,105613,105612
100801,14,105255,105254,105374,105462,105614,105613
100801,15,105256,105255,105463,105374,105615,105614
100801,16,105257,105256,105524,105463,105616,105615
100801,17,106251,105257,105464,105524,105617,105616
100801,18,106252,106251,106461,105464,106611,105617
100801,19,106253,106252,106521,106461,106612,106611
100801,20,999999,106253,999999,106372,106613,106612
100901,1,101251,101251,101371,101521,101611,101611
100901,2,102222,102221,102371,102461,101611,101611
100901,3,103221,102222,102372,102521,102611,102611
100901,4,103252,103521,103251,103611,102613,102613
100901,5,103222,103252,103371,103522,103611,103611
100901,6,104221,103222,103372,103522,103371,103613
100901,7,104222,104221,104371,103614,103614,103613
100901,8,104223,104222,104522,104221,104611,103583
100901,9,104224,104223,104462,104222,104612,104581
100901,10,105221,104224,104463,104223,104613,104582
100901,11,105222,105221,105521,104224,105611,104613
100901,12,105223,105222,105372,105221,105612,105611
100901,13,105224,105223,105373,105222,105613,105612
100901,14,105225,105224,105523,105223,105614,105613
100901,15,105226,105225,105375,105224,105615,105614
100901,16,105227,105226,105376,105225,105616,105615
100901,17,106221,105227,105377,105226,105617,105616
100901,18,106222,106221,106371,105227,106611,105617
100901,19,106223,106222,106372,106221,106612,106611
100901,20,999999,106223,999999,106222,106613,106612
101001,1,101251,101251,101371,101521,101611,101581
101001,2,102252,102251,102371,102461,101611,101581
101001,3,103251,102252,102372,102521,102612,102581
101001,4,103252,103251,103521,103521,102614,102582
101001,5,103222,103252,103371,103461,103612,103581
101001,6,104251,103222,103372,103522,103613,103582
101001,7,104252,104461,104371,103614,103222,103582
101001,8,104253,104252,104372,104461,104581,103614
101001,9,104254,104253,104523,104522,104582,104611
101001,10,105251,104254,104373,104462,104583,104612
101001,11,105252,105251,105371,104463,105581,104613
101001,12,105253,105252,105522,105521,105582,105611
101001,13,105254,105253,105462,105522,105583,105612
101001,14,105255,105254,105374,105462,105584,105613
101001,15,105256,105255,105463,105374,105585,105614
101001,16,105257,105256,105524,105463,105586,105615
101001,17,106251,105257,105464,105524,105587,105616
101001,18,106252,106251,106461,105464,106581,105617
101001,19,106253,106252,106521,106461,106582,106611
101001,20,999999,106253,999999,106372,106583,106612
101101,1,101131,101131,101281,101551,101131,101551
101101,2,102131,102071,102341,102551,101131,101551
101101,3,103071,102131,102342,102552,102071,102551
101101,4,103131,103071,103341,103431,102131,102552
101101,5,103132,103131,103342,103342,103071,103551
101101,6,104131,103132,103343,103432,103131,103552
101101,7,104132,104131,104341,103553,103132,103582
101101,8,104133,104132,104342,104431,104551,103553
101101,9,104134,104133,104343,104432,104552,104551
101101,10,105131,104134,104344,104133,104553,104552
101101,11,105132,105131,105341,104433,105551,104553
101101,12,105133,105132,105282,105131,105552,105551
101101,13,105134,105133,105343,105132,105553,105552
101101,14,105135,105134,105344,105133,105554,105553
101101,15,105136,105135,105345,105134,105555,105554
101101,16,105137,105136,105286,105135,105556,105555
101101,17,106131,105137,105287,105136,105557,105556
101101,18,106132,106131,106341,105137,106551,105557
101101,19,106133,106132,106282,106131,106552,106551
101101,20,999999,106133,999999,106132,106553,106552
101201,1,101251,101251,101371,101521,101611,101611
101201,2,102222,102221,102371,102461,101611,101611
101201,3,103221,102222,102372,102521,102611,102611
101201,4,103252,103221,103521,103521,102613,102613
101201,5,103222,103252,103371,103522,103611,103611
101201,6,104221,103222,103372,103522,103371,103613
101201,7,104222,104221,104371,103614,103614,103613
101201,8,104223,104222,104522,104461,104611,103583
101201,9,104224,104223,104462,104522,104612,104581
101201,10,105221,104224,104463,104523,104613,104612
101201,11,105222,105221,105521,104463,105611,104613
101201,12,105223,105222,105372,105521,105612,105611
101201,13,105224,105223,105373,105522,105613,105612
101201,14,105225,105224,105523,105462,105614,105613
101201,15,105226,105225,105375,105523,105615,105614
101201,16,105227,105226,105376,105375,105616,105615
101201,17,106221,105227,105377,105376,105617,105616
101201,18,106222,106221,106371,105377,106611,105617
101201,19,106223,106222,106372,106371,106612,106611
101201,20,999999,106223,999999,106521,106613,106612
101301,1,101251,101251,101371,101521,101611,101611
101301,2,102222,102221,102371,102461,101611,101611
101301,3,103221,102222,102372,102521,102611,102611
101301,4,103252,103221,103521,103521,102613,102613
101301,5,103222,103252,103371,103522,103611,103611
101301,6,104221,103222,103372,103522,103371,103613
101301,7,104222,104221,104371,103614,103614,103613
101301,8,104223,104222,104522,104461,104611,103583
101301,9,104224,104223,104462,104522,104612,104581
101301,10,105221,104224,104463,104523,104613,104612
101301,11,105222,105221,105521,104463,105611,104613
101301,12,105223,105222,105372,105521,105612,105611
101301,13,105224,105223,105373,105522,105613,105612
101301,14,105225,105224,105523,105462,105614,105613
101301,15,105226,105225,105375,105523,105615,105614
101301,16,105227,105226,105376,105375,105616,105615
101301,17,106221,105227,105377,105376,105617,105616
101301,18,106222,106221,106371,105377,106611,105617
101301,19,106223,106222,106372,106371,106612,106611
101301,20,999999,106223,999999,106521,106613,106612
101401,1,101251,101251,101371,101521,101611,101581
101401,2,102252,102251,102371,102461,101611,101581
101401,3,103251,102252,102372,102521,102612,102581
101401,4,103252,103251,103521,103521,102614,102582
101401,5,103222,103252,103371,103461,103612,103581
101401,6,104251,103222,103372,103522,103613,103582
101401,7,104252,104521,104371,103614,103583,103613
101401,8,104253,104252,104372,104461,104581,103614
101401,9,104254,104253,104523,104372,104612,104581
101401,10,105251,104254,104373,104523,104613,104582
101401,11,105252,105251,105371,104463,105611,104583
101401,12,105253,105252,105372,105521,105612,105581
101401,13,105254,105253,105373,105522,105613,105582
101401,14,105255,105254,105374,105462,105614,105583
101401,15,105256,105255,105463,105374,105615,105584
101401,16,105257,105256,105524,105463,105616,105585
101401,17,106251,105257,105464,105524,105617,105586
101401,18,106252,106251,106461,105464,106611,105587
101401,19,106253,106252,106521,106461,106612,106581
101401,20,999999,106253,999999,106372,106613,106582
101501,1,101251,101251,101371,101521,101611,101581
101501,2,102252,102251,102371,102461,101611,101611
101501,3,103251,102252,102372,102521,102612,102581
101501,4,103252,103251,103521,103521,102613,102614
101501,5,103222,103252,103371,103461,103612,103581
101501,6,104251,103222,103372,103522,103613,103613
101501,7,104252,104251,104371,103614,103614,103461
101501,8,104253,104252,104372,104461,104611,103614
101501,9,104254,104253,104523,104522,104612,104611
101501,10,105251,104254,104373,104523,104613,104612
101501,11,105252,105251,105371,104463,105581,104613
101501,12,105253,105252,105522,105521,105582,105611
101501,13,105254,105253,105462,105522,105583,105612
101501,14,105255,105254,105374,105462,105584,105613
101501,15,105256,105255,105375,105374,105585,105614
101501,16,105257,105256,105376,105375,105586,105615
101501,17,106251,105257,105464,105376,105587,105616
101501,18,106252,106251,106461,105464,106581,105617
101501,19,106253,106252,106521,106461,106582,106611
101501,20,999999,106253,999999,106372,106583,106612
101601,1,101131,101131,101281,101551,101131,101551
101601,2,102131,102071,102341,102551,101131,101551
101601,3,103071,102131,102342,102552,102071,102551
101601,4,103131,103071,103341,103551,102131,102552
101601,5,103132,103131,103342,103552,103071,103551
101601,6,104131,103132,103343,103552,103131,103552
101601,7,104132,104131,104341,103553,103553,103582
101601,8,104133,104132,104342,104131,104551,103553
101601,9,104134,104133,104343,104132,104552,104551
101601,10,105131,104134,104344,104133,104554,104552
101601,11,105132,105131,105281,104134,105551,104553
101601,12,105133,105132,105282,105131,105552,105551
101601,13,105134,105133,105491,105132,105553,105552
101601,14,105135,105134,105284,105133,105554,105553
101601,15,105136,105135,105345,105134,105555,105554
101601,16,105137,105136,105286,105135,105556,105555
101601,17,106131,105137,105287,105136,105557,105556
101601,18,106132,106131,106341,105137,106551,105557
101601,19,106133,106132,106282,106131,106552,106551
101601,20,999999,106133,999999,106132,106553,106552
101701,1,101101,101071,101281,101431,101071,101551
101701,2,102101,102071,102341,102431,101551,101551
101701,3,103071,102101,102342,102432,102551,102551
101701,4,103101,103071,103341,103431,102552,102552
101701,5,103072,103101,103342,103432,103551,103551
101701,6,104101,103072,103343,103432,103342,103582
101701,7,104102,104101,104341,103553,103072,103552
101701,8,104103,104102,104342,104101,104551,103553
101701,9,104104,104103,104343,104102,104552,104551
101701,10,105101,104104,104344,104103,104554,104552
101701,11,105102,105101,105341,104104,105551,104553
101701,12,105103,105102,105282,105101,105552,105551
101701,13,105104,105103,105343,105102,105553,105552
101701,14,105105,105104,105344,105103,105554,105553
101701,15,105106,105105,105285,105104,105555,105554
101701,16,105107,105106,105286,105105,105556,105555
101701,17,106101,105107,105287,105106,105557,105556
101701,18,106102,106101,106341,105107,106551,105557
101701,19,106103,106102,106282,106101,106552,106551
101701,20,999999,106103,999999,106102,106553,106552
101801,1,101251,101251,101371,101521,101611,101611
101801,2,102222,102221,102371,102461,101611,101611
101801,3,103221,102222,102372,102521,102611,102611
101801,4,103252,103221,103521,103611,102613,102613
101801,5,103222,103252,103371,103522,103611,103611
101801,6,104221,103222,103372,103522,103371,103613
101801,7,104222,104521,104371,103614,103583,103613
101801,8,104223,104222,104372,104461,104581,103583
101801,9,104224,104223,104523,104522,104612,104581
101801,10,105221,104224,104373,104462,104613,104582
101801,11,105222,105221,105371,104463,105611,104583
101801,12,105223,105222,105372,105521,105612,105581
101801,13,105224,105223,105373,105522,105613,105582
101801,14,105225,105224,105523,105462,105614,105583
101801,15,105226,105225,105375,105523,105615,105584
101801,16,105227,105226,105524,105375,105616,105585
101801,17,106221,105227,105377,105524,105617,105586
101801,18,106222,106221,106371,105377,106611,105587
101801,19,106223,106222,106521,106371,106612,106581
101801,20,999999,106223,999999,106372,106613,106582
102001,1,101011,101191,101281,101401,101581,101551
102001,2,102013,102011,102311,102493,101281,101551
102001,3,103011,102192,102312,102401,102581,102551
102001,4,103012,103011,103281,103431,102432,102552
102001,5,103013,103192,103282,103491,103431,103551
102001,6,104011,103013,103283,103491,103401,103552
102001,7,104012,104191,104281,103553,103583,103552
102001,8,104013,104192,104282,104491,104551,103553
102001,9,104014,104193,104402,104432,104552,104551
102001,10,105011,104194,104284,104402,104553,104552
102001,11,105012,105191,105401,104433,105551,104554
102001,12,105013,105192,105312,105401,105552,105551
102001,13,105014,105193,105491,105431,105553,105552
102001,14,105015,105194,105432,105491,105554,105553
102001,15,105016,105195,105345,105432,105555,105554
102001,16,105017,105196,105286,105345,105556,105555
102001,17,106011,105197,105287,105286,105557,105556
102001,18,106192,106191,106281,105287,106551,105557
102001,19,106013,106192,106282,106281,106552,106551
102001,20,999999,106193,999999,106282,106553,106552
102101,1,101191,101431,101281,101191,101551,101581
102101,2,102192,102431,102311,102191,101431,101581
102101,3,103191,102401,102282,102192,102191,102551
102101,4,103192,103581,103311,103191,102401,102401
102101,5,103193,103432,103282,103192,103581,103551
102101,6,104191,103583,103283,103192,103582,103282
102101,7,104192,104401,104311,103193,103583,103582
102101,8,104193,104192,104282,104491,104581,103583
102101,9,104194,104193,104313,104432,104582,104581
102101,10,105191,104194,104433,104313,104583,104582
102101,11,105192,105191,105401,104433,105581,104583
102101,12,105193,105192,105342,105401,105582,105581
102101,13,105194,105193,105283,105431,105583,105582
102101,14,105195,105194,105314,105491,105584,105583
102101,15,105196,105195,105315,105432,105585,105584
102101,16,105197,105196,105316,105315,105586,105585
102101,17,106191,105197,105317,105316,105587,105586
102101,18,106192,106191,106311,105317,106581,105587
102101,19,106193,106192,106312,106311,106582,106581
102101,20,999999,106193,999999,106312,106583,106582
102201,1,101251,101251,101371,101521,101611,101611
102201,2,102222,102221,102371,102461,101611,101611
102201,3,103221,102222,102372,102521,102611,102611
102201,4,103252,103521,103221,103611,102613,102613
102201,5,103222,103252,103371,103522,103611,103611
102201,6,104221,103222,103372,103522,103371,103613
102201,7,104222,104221,104371,103614,103614,103522
102201,8,104223,104222,104522,104221,104611,103614
102201,9,104224,104223,104462,104222,104612,104611
102201,10,105221,104224,104463,104223,104613,104612
102201,11,105222,105221,105371,104224,105611,104613
102201,12,105223,105222,105372,105221,105612,105611
102201,13,105224,105223,105373,105222,105613,105612
102201,14,105225,105224,105523,105223,105614,105613
102201,15,105226,105225,105375,105224,105615,105614
102201,16,105227,105226,105376,105225,105616,105615
102201,17,106221,105227,105377,105226,105617,105616
102201,18,106222,106221,106371,105227,106611,105617
102201,19,106223,106222,106372,106221,106612,106611
102201,20,999999,106223,999999,106222,106613,106612
102301,1,101191,101191,101281,101401,101551,101581
102301,2,102192,102191,102311,102493,101551,101551
102301,3,103191,102192,102282,102401,102191,102551
102301,4,103192,103191,103311,103581,102552,102552
102301,5,103193,103192,103282,103401,103191,103551
102301,6,104191,103193,103283,103401,103552,103552
102301,7,104192,104191,104311,103553,103193,103582
102301,8,104193,104192,104282,104401,104551,103553
102301,9,104194,104193,104402,104282,104552,104551
102301,10,105191,104194,104433,104283,104583,104552
102301,11,105192,105191,105401,104284,105551,104554
102301,12,105193,105192,105431,105281,105552,105551
102301,13,105194,105193,105283,105282,105553,105552
102301,14,105195,105194,105284,105283,105554,105553
102301,15,105196,105195,105402,105284,105555,105554
102301,16,105197,105196,105346,105402,105556,105555
102301,17,106191,105197,105403,105346,105557,105556
102301,18,106192,106191,106401,105403,106551,105557
102301,19,106193,106192,106431,106401,106552,106551
102301,20,999999,106193,999999,106431,106553,106552
102501,1,101251,101251,101371,101521,101611,101581
102501,2,102252,102251,102371,102461,101611,101581
102501,3,103251,102252,102372,102521,102612,102581
102501,4,103252,103251,103521,103521,102614,102582
102501,5,103222,103252,103371,103461,103612,103581
102501,6,104251,103222,103372,103522,103613,103582
102501,7,104252,104461,104371,103614,103222,103582
102501,8,104253,104252,104372,104461,104581,103614
102501,9,104254,104253,104523,104522,104582,104611
102501,10,105251,104254,104463,104523,104613,104612
102501,11,105252,105251,105371,104463,105611,104613
102501,12,105253,105252,105522,105521,105612,105611
102501,13,105254,105253,105373,105522,105613,105612
102501,14,105255,105254,105523,105462,105614,105613
102501,15,105256,105255,105375,105523,105615,105614
102501,16,105257,105256,105524,105375,105616,105615
102501,17,106251,105257,105377,105524,105617,105616
102501,18,106252,106251,106371,105377,106611,105617
102501,19,106253,106252,106521,106371,106612,106611
102501,20,999999,106253,999999,106521,106613,106612
102601,1,101161,101161,101281,101431,101581,101581
102601,2,102163,102162,102341,102491,101581,101581
102601,3,103161,102163,102342,102432,102581,102581
102601,4,103162,103161,103341,103431,102582,102552
102601,5,103193,103162,103342,103432,103581,103551
102601,6,104161,103193,103343,103401,103552,103582
102601,7,104162,104161,104341,103583,103553,103582
102601,8,104163,104162,104432,104491,104551,103583
102601,9,104164,104163,104402,104432,104582,104581
102601,10,105161,104164,104433,104343,104583,104582
102601,11,105162,105161,105401,104344,105581,104583
102601,12,105163,105162,105342,105341,105582,105581
102601,13,105164,105163,105283,105342,105583,105582
102601,14,105165,105164,105432,105343,105584,105583
102601,15,105166,105165,105402,105344,105585,105584
102601,16,105167,105166,105433,105402,105586,105585
102601,17,106161,105167,105403,105433,105587,105586
102601,18,106162,106161,106401,105403,106581,105587
102601,19,106163,106162,106431,106401,106582,106581
102601,20,999999,106163,999999,106431,106583,106582
102701,1,101191,101191,101401,101191,101551,101551
102701,2,102192,102191,102281,102191,101551,101551
102701,3,103191,102192,102282,102192,102551,102551
102701,4,103192,103191,103281,103191,102552,102552
102701,5,103193,103192,103371,103192,103551,103551
102701,6,104191,103193,103283,103192,103552,103552
102701,7,104192,104191,104281,103193,103553,103552
102701,8,104193,104192,104282,104191,104551,103553
102701,9,104194,104193,104283,104192,104552,104551
102701,10,105191,104194,104284,104193,104554,104552
102701,11,105192,105191,105281,104194,105551,104553
102701,12,105193,105192,105431,105191,105552,105551
102701,13,105194,105193,105343,105192,105553,105552
102701,14,105195,105194,105344,105193,105554,105553
102701,15,105196,105195,105285,105194,105555,105554
102701,16,105197,105196,105286,105195,105556,105555
102701,17,106191,105197,105287,105196,105557,105556
102701,18,106192,106191,106281,105197,106551,105557
102701,19,106193,106192,106282,106191,106552,106551
102701,20,999999,106193,999999,106192,106553,106552
102801,1,101011,101011,101281,101401,101071,101551
102801,2,102013,102011,102311,102493,101071,101551
102801,3,103011,102013,102312,102401,102071,102551
102801,4,103012,103011,103281,103431,102552,102582
102801,5,103013,103012,103282,103401,103551,103551
102801,6,104011,103013,103283,103401,103552,103552
102801,7,104012,104491,104311,103553,103013,103582
102801,8,104013,104012,104282,104401,104551,103553
102801,9,104014,104013,104402,104432,104552,104551
102801,10,105011,104014,104433,104283,104553,104552
102801,11,105012,105011,105401,104284,105551,104553
102801,12,105013,105012,105342,105281,105552,105551
102801,13,105014,105013,105283,105282,105553,105552
102801,14,105015,105014,105284,105283,105554,105553
102801,15,105016,105015,105402,105284,105555,105554
102801,16,105017,105016,105433,105402,105556,105555
102801,17,106011,105017,105403,105433,105557,105556
102801,18,106012,106011,106281,105403,106551,105557
102801,19,106013,106012,106431,106281,106552,106551
102801,20,999999,106013,999999,106431,106553,106552
102901,1,101011,101401,101281,101401,101551,101581
102901,2,102014,102491,102281,102493,101551,101581
102901,3,103011,102401,102282,102401,102162,102581
102901,4,103012,103431,103311,103431,102163,102582
102901,5,103013,103401,103282,103401,103551,103581
102901,6,104011,103583,103283,103401,103552,103582
102901,7,104012,104401,104311,103583,103583,103582
102901,8,104013,104012,104432,104491,104581,103583
102901,9,104014,104013,104313,104282,104582,104581
102901,10,105011,104014,104284,104402,104583,104582
102901,11,105012,105011,105341,104433,105581,104583
102901,12,105013,105012,105342,105401,105582,105581
102901,13,105014,105013,105283,105431,105583,105582
102901,14,105015,105014,105314,105491,105584,105583
102901,15,105016,105015,105402,105432,105585,105584
102901,16,105017,105016,105433,105402,105586,105585
102901,17,106011,105017,105403,105433,105587,105586
102901,18,106012,106011,106401,105403,106581,105587
102901,19,106013,106012,106431,106401,106582,106581
102901,20,999999,106013,999999,106431,106583,106582
103001,1,101011,101011,101281,101401,101551,101581
103001,2,102041,102011,102281,102493,101011,101581
103001,3,103011,102041,102282,102401,102551,102581
103001,4,103041,103431,103281,103011,102041,102582
103001,5,103042,103012,103282,103401,103551,103581
103001,6,104041,103042,103283,103401,103041,103582
103001,7,104042,104041,104281,103553,103583,103401
103001,8,104043,104042,104312,104041,104551,103553
103001,9,104044,104043,104283,104042,104552,104551
103001,10,105041,104044,104284,104043,104553,104552
103001,11,105042,105041,105311,104044,105551,104554
103001,12,105043,105042,105312,105041,105552,105551
103001,13,105044,105043,105491,105042,105553,105552
103001,14,105045,105044,105284,105043,105554,105553
103001,15,105046,105045,105345,105044,105555,105554
103001,16,105047,105046,105286,105045,105556,105555
103001,17,106041,105047,105287,105046,105557,105556
103001,18,106042,106041,106281,105047,106551,105557
103001,19,106043,106042,106282,106041,106552,106551
103001,20,999999,106043,999999,106042,106553,106552
103101,1,101011,101011,101281,101401,101551,101581
103101,2,102041,102011,102281,102493,101581,101581
103101,3,103011,102041,102282,102401,102551,102581
103101,4,103041,103011,103281,103431,102552,102582
103101,5,103042,103552,103282,103491,103551,103581
103101,6,104041,103042,103343,103491,103552,103582
103101,7,104042,104041,104281,103553,103583,103401
103101,8,104043,104042,104312,104401,104551,103553
103101,9,104044,104043,104402,104432,104552,104551
103101,10,105041,104044,104284,104402,104553,104552
103101,11,105042,105041,105281,104433,105551,104554
103101,12,105043,105042,105312,105401,105552,105551
103101,13,105044,105043,105283,105431,105553,105552
103101,14,105045,105044,105344,105491,105554,105553
103101,15,105046,105045,105285,105432,105555,105554
103101,16,105047,105046,105346,105285,105556,105555
103101,17,106041,105047,105287,105346,105557,105556
103101,18,106042,106041,106281,105287,106551,105557
103101,19,106043,106042,106282,106281,106552,106551
103101,20,999999,106043,999999,106282,106553,106552
103201,1,101011,101011,101281,101401,101551,101581
103201,2,102013,102011,102311,102493,101011,101581
103201,3,103011,102013,102282,102401,102551,102581
103201,4,103012,103011,103311,103431,102013,102582
103201,5,103013,103012,103282,103012,103551,103581
103201,6,104011,103013,103283,103401,103552,103582
103201,7,104012,104491,104311,103553,103013,103582
103201,8,104013,104012,104282,104401,104551,103553
103201,9,104014,104013,104402,104432,104552,104551
103201,10,105011,104014,104284,104402,104553,104552
103201,11,105012,105011,105281,104433,105551,104553
103201,12,105013,105012,105431,105401,105552,105551
103201,13,105014,105013,105343,105431,105553,105552
103201,14,105015,105014,105284,105491,105554,105553
103201,15,105016,105015,105315,105432,105555,105554
103201,16,105017,105016,105316,105315,105556,105555
103201,17,106011,105017,105317,105316,105557,105556
103201,18,106012,106011,106281,105317,106551,105557
103201,19,106013,106012,106312,106281,106552,106551
103201,20,999999,106013,999999,106312,106553,106552
103301,1,101161,101161,101281,101431,101161,101581
103301,2,102163,102191,102341,102491,101161,101581
103301,3,103161,102163,102342,102432,102162,102581
