story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time,order
1057,1,1057,"姬塔",0,20,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1058,1,1058,"佩可莉姆",0,36,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1059,1,1059,"可可萝",0,18,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1060,1,1060,"凯露",0,13,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1061,1,1061,"矛依未",0,48,"2021/03/01 11:00:00","2099/12/31 23:59:59",0
1063,1,1063,"亚里莎",0,6,"2020/05/15 11:00:00","2099/12/31 23:59:59",0
1071,1,1071,"克莉丝提娜",0,16,"2020/11/23 11:00:00","2099/12/31 23:59:59",0
1075,1,1075,"佩可莉姆（夏日）",0,61,"2020/08/03 11:00:00","2099/12/31 23:59:59",0
1076,1,1076,"可可萝（夏日）",0,62,"2020/08/03 11:00:00","2099/12/31 23:59:59",0
1077,1,1077,"铃莓（夏日）",0,63,"2020/08/18 11:00:00","2099/12/31 23:59:59",0
1078,1,1078,"凯露（夏日）",0,64,"2020/08/30 11:00:00","2099/12/31 23:59:59",0
1079,1,1079,"珠希（夏日）",0,66,"2020/09/15 11:00:00","2099/12/31 23:59:59",0
1080,1,1080,"美冬（夏日）",0,65,"2020/08/30 11:00:00","2099/12/31 23:59:59",0
1081,1,1081,"忍（万圣节）",0,67,"2020/10/26 11:00:00","2099/12/31 23:59:59",0
1082,1,1082,"宫子（万圣节）",0,68,"2020/10/26 11:00:00","2099/12/31 23:59:59",0
1083,1,1083,"美咲（万圣节）",0,69,"2020/11/10 11:00:00","2099/12/31 23:59:59",0
1084,1,1084,"千歌（圣诞节）",0,70,"2020/12/20 11:00:00","2099/12/31 23:59:59",0
1085,1,1085,"胡桃（圣诞节）",0,71,"2020/12/20 11:00:00","2099/12/31 23:59:59",0
1086,1,1086,"绫音（圣诞节）",0,72,"2021/01/08 11:00:00","2099/12/31 23:59:59",0
1087,1,1087,"日和莉（新年）",0,73,"2021/02/01 11:00:00","2099/12/31 23:59:59",0
1088,1,1088,"优衣（新年）",0,74,"2021/01/18 9:00:00","2099/12/31 23:59:59",0
1089,1,1089,"怜（新年）",0,75,"2021/01/18 9:00:00","2099/12/31 23:59:59",0
1090,1,1090,"惠理子（情人节）",0,76,"2021/02/14 11:00:00","2099/12/31 23:59:59",0
1091,1,1091,"静流（情人节）",0,77,"2021/02/14 11:00:00","2099/12/31 23:59:59",0
1701,1,1701,"环奈",0,89,"2020/10/16 11:00:00","2099/12/31 23:59:59",0
1702,1,1702,"环奈（振袖）",0,90,"2020/12/30 11:00:00","2099/12/31 23:59:59",0
1900,1,1900,"爱梅斯",0,91,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
2000,2,0,"序章_结下羁绊之人",2000002,1,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
2001,2,0,"第1章_谜之少女与记忆之匙",2001005,2,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
2002,2,0,"第2章_誓约女君",2002005,3,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
2003,2,0,"第3章_袭来的黑色幻影（暗影）",2003005,4,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
2004,2,0,"第4章_灾难的伊丽莎白牧场",2004005,5,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
2005,2,0,"第5章_集结、七冠",2005006,6,"2020/05/07 13:00:00","2099/12/31 23:59:59",0
2006,2,0,"第6章_被遗忘的王女",2006013,7,"2020/06/23 11:00:00","2099/12/31 23:59:59",0
2007,2,0,"第7章_预言的灾难",2007012,8,"2020/08/18 11:00:00","2099/12/31 23:59:59",0
2008,2,0,"第8章_交错的心",2008015,9,"2020/10/09 11:00:00","2099/12/31 23:59:59",0
2009,2,0,"第9章_被盯上的演唱会",2009099,10,"2020/11/30 11:00:00","2099/12/31 23:59:59",0
2010,2,0,"第10章_救出佩可莉姆大作战",2010006,11,"2021/02/01 11:00:00","2099/12/31 23:59:59",0
3001,3,1,"美食殿堂",0,1,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3002,3,2,"王宫骑士团ーNIGHTMAREー",0,8,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3003,3,3,"咲恋救济院",0,9,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3004,3,4,"自卫团",0,10,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3005,3,5,"伊丽莎白牧场",0,11,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3006,3,6,"拉比林斯",0,3,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3007,3,7,"破晓之星",0,2,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3008,3,8,"墨丘利财团",0,12,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3009,3,9,"森林守卫",0,6,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3010,3,10,"慈乐之音",0,4,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3011,3,11,"暮光流星群",0,13,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3012,3,12,"纯白之翼 兰德索尔支部",0,15,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3013,3,13,"小小甜心",0,5,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3014,3,14,"恶魔伪王国军",0,7,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
3015,3,15,"月光学院",0,14,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
4001,4,0,"公会之家",0,1,"2020/01/01 0:00:00","2099/12/31 23:59:59",5
4002,4,0,"竞技场",0,1,"2020/01/01 0:00:00","2099/12/31 23:59:59",4
4003,4,0,"地下城",0,1,"2020/01/01 0:00:00","2099/12/31 23:59:59",3
4004,4,5,"活动",0,1,"2020/05/15 11:00:00","2099/12/31 23:59:59",1
4005,4,0,"露娜之塔",0,1,"2020/09/28 9:00:00","2099/12/31 23:59:59",2
