skill_id,ub_auto_id_1,ub_auto_id_2,ub_auto_id_3,ub_auto_id_4,ub_auto_id_5
1052011,1,0,0,0,0
1053001,1,0,0,0,0
1053011,1,0,0,0,0
1054001,1,0,0,0,0
1055001,25003,25004,0,0,0
1056001,1,0,0,0,0
1057001,1,0,0,0,0
1058001,1,0,0,0,0
1058011,1,0,0,0,0
1059001,12002,0,0,0,0
1059011,1,0,0,0,0
1060001,1,0,0,0,0
1060011,1,0,0,0,0
1061001,1,0,0,0,0
1063001,1,0,0,0,0
1063011,1,0,0,0,0
1064001,1,0,0,0,0
1065001,1,0,0,0,0
1066001,1,0,0,0,0
1067001,1,0,0,0,0
1068001,1,0,0,0,0
1070001,1,0,0,0,0
1071001,1,0,0,0,0
1075001,1,0,0,0,0
1075011,1,0,0,0,0
1076001,13001,0,0,0,0
1076011,1,0,0,0,0
1077001,1,0,0,0,0
1078001,1,0,0,0,0
1078011,1,0,0,0,0
1079001,1,0,0,0,0
1080001,1,0,0,0,0
1081001,1,0,0,0,0
1082001,1,0,0,0,0
1083001,23001,0,0,0,0
1084001,1,0,0,0,0
1085001,1,0,0,0,0
1086001,1,0,0,0,0
1087001,1,0,0,0,0
1088001,1,0,0,0,0
1089001,23002,0,0,0,0
1090001,1,0,0,0,0
1091001,1,0,0,0,0
1092001,1,0,0,0,0
1093001,27001,27002,0,0,0
1094001,1,0,0,0,0
1095001,12002,0,0,0,0
1096001,1,0,0,0,0
1097001,1,0,0,0,0
1098001,1,0,0,0,0
1099001,13002,0,0,0,0
1100001,1,0,0,0,0
1101001,1,0,0,0,0
1103001,1,0,0,0,0
1104001,1,0,0,0,0
1105001,1,0,0,0,0
1106001,1,0,0,0,0
1107001,1,0,0,0,0
1108001,1,0,0,0,0
1109001,1,0,0,0,0
1110001,1,0,0,0,0
1111001,1,0,0,0,0
1112001,1,0,0,0,0
1113001,1,0,0,0,0
1114001,1,0,0,0,0
1115001,1,0,0,0,0
1116001,1,0,0,0,0
1117001,1,0,0,0,0
1118001,1,0,0,0,0
1119001,12002,0,0,0,0
1120001,1,0,0,0,0
1121001,14002,11002,0,0,0
1122001,1,0,0,0,0
1123001,1,0,0,0,0
1124001,1,0,0,0,0
1125001,1,0,0,0,0
1126001,1,0,0,0,0
1127001,1,0,0,0,0
1128001,25003,25004,0,0,0
1129001,1,0,0,0,0
1130001,1,0,0,0,0
1131001,1,0,0,0,0
1132001,1,0,0,0,0
1133001,1,0,0,0,0
1134001,1,0,0,0,0
1135001,1,0,0,0,0
1136001,1,0,0,0,0
1137001,1,0,0,0,0
1138001,1,0,0,0,0
1139001,1,0,0,0,0
1140001,1,0,0,0,0
1141001,1,0,0,0,0
1142001,1,0,0,0,0
1143001,1,0,0,0,0
1144001,1,0,0,0,0
1145001,1,0,0,0,0
1146001,1,0,0,0,0
1147001,1,0,0,0,0
1150001,1,0,0,0,0
1155001,1,0,0,0,0
1156001,14002,11002,0,0,0
1157001,1,0,0,0,0
1158001,1,0,0,0,0
1158100,1,0,0,0,0
1159001,1,0,0,0,0
1160001,1,0,0,0,0
1162001,1,0,0,0,0
1163001,26001,0,0,0,0
1164001,1,0,0,0,0
1165001,1,0,0,0,0
1166001,1,0,0,0,0
1167001,1,0,0,0,0
1168001,1,0,0,0,0
1169001,1,0,0,0,0
1170001,1,0,0,0,0
1171001,1,0,0,0,0
1172001,1,0,0,0,0
1173001,1,0,0,0,0
1174001,1,0,0,0,0
1175001,1,0,0,0,0
1176001,1,0,0,0,0
1177001,1,0,0,0,0
1178001,1,0,0,0,0
1179001,25001,25002,0,0,0
1180001,1,0,0,0,0
1181001,1,0,0,0,0
1185001,1,0,0,0,0
1190001,1,0,0,0,0
1191001,1,0,0,0,0
1192001,1,0,0,0,0
1193001,1,0,0,0,0
1199001,1,0,0,0,0
1207001,1,0,0,0,0
1208001,1,0,0,0,0
1209001,1,0,0,0,0
1210001,1,0,0,0,0
1211001,1,0,0,0,0
1212001,1,0,0,0,0
1213001,1,0,0,0,0
1214001,1,0,0,0,0
1215001,1,0,0,0,0
1216001,1,0,0,0,0
1219001,1,0,0,0,0
1220001,1,0,0,0,0
1221001,1,0,0,0,0
1222001,1,0,0,0,0
1701001,1,0,0,0,0
1702001,1,0,0,0,0
1703011,1,0,0,0,0
1801001,1,0,0,0,0
1802001,1,0,0,0,0
1803001,1,0,0,0,0
1804001,1,0,0,0,0
1805001,1,0,0,0,0
1806001,1,0,0,0,0
1807001,1,0,0,0,0
1808001,1,0,0,0,0
1809001,1,0,0,0,0
1913001,1,0,0,0,0
4181001,1,0,0,0,0
