gacha_id,gacha_name,description,gacha_detail,gacha_cost_type,price,free_gacha_type,free_gacha_interval_time,free_gacha_count,discount_price,gacha_odds,gacha_odds_star2,gacha_type,movie_id,start_time,end_time,ticket_id,special_id,exchange_id,ticket_id_10,rarity_odds,chara_odds_star1,chara_odds_star2,chara_odds_star3
20001,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20001,21001,1,200001,"2020/01/01 0:00:00","2020/04/23 12:59:59",24001,0,0,24002,0,0,0,0
20002,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20002,21002,1,200001,"2020/04/23 13:00:00","2020/05/07 12:59:59",24001,0,1,24002,0,0,0,0
20003,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20003,21003,1,200001,"2020/05/07 13:00:00","2020/05/15 10:59:59",24001,0,2,24002,0,0,0,0
20004,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20004,21004,1,200001,"2020/05/15 11:00:00","2020/05/28 10:59:59",24001,0,3,24002,0,0,0,0
20005,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20005,21005,1,200001,"2020/05/28 11:00:00","2020/06/08 10:59:59",24001,0,4,24002,0,0,0,0
20006,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20006,21006,1,200001,"2020/06/08 11:00:00","2020/06/23 10:59:59",24001,0,5,24002,0,0,0,0
20007,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20007,21007,1,200001,"2020/06/23 11:00:00","2020/07/06 10:59:59",24001,0,6,24002,0,0,0,0
20008,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20008,21008,1,200001,"2020/07/06 11:00:00","2020/07/20 10:59:59",24001,0,7,24002,0,0,0,0
20009,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20009,21009,1,200001,"2020/07/20 11:00:00","2020/08/03 10:59:59",24001,0,8,24002,0,0,0,0
20010,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20010,21010,1,200001,"2020/08/03 11:00:00","2020/08/18 10:59:59",24001,0,9,24002,0,0,0,0
20011,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20011,21011,1,200001,"2020/08/18 11:00:00","2020/08/30 10:59:59",24001,0,10,24002,0,0,0,0
20012,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20012,21012,1,200001,"2020/08/30 11:00:00","2020/09/15 10:59:59",24001,0,11,24002,0,0,0,0
20013,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20013,21013,1,200001,"2020/09/15 11:00:00","2020/09/28 08:59:59",24001,0,12,24002,0,0,0,0
20014,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20014,21014,1,200001,"2020/09/28 09:00:00","2020/10/09 10:59:59",24001,0,13,24002,0,0,0,0
20015,"白金扭蛋","白金扭蛋中只能招募到角色！",2,2,150,0,0,0,50,20015,21015,1,200001,"2020/10/09 11:00:00","2020/10/16 10:59:59",24001,0,14,24002,0,0,0,0
30002,"PICK UP扭蛋","新角色「纯」登场！活动中出现率上升！",2,2,150,0,0,0,50,30002,31002,1,300002,"2020/04/23 13:00:00","2020/05/07 12:59:59",24001,0,1,24002,0,0,0,0
30003,"PICK UP扭蛋","新角色「铃」登场！活动中出现率上升！",2,2,150,0,0,0,50,30003,31003,1,300003,"2020/05/07 13:00:00","2020/05/15 10:59:59",24001,0,2,24002,0,0,0,0
30004,"PICK UP扭蛋","新角色「亚里莎」登场！活动中出现率上升！",2,2,150,0,0,0,50,30004,31004,1,300004,"2020/05/15 11:00:00","2020/05/28 10:59:59",24001,0,3,24002,0,0,0,0
30005,"PICK UP扭蛋","新角色「绫音」登场！活动中出现率上升！",2,2,150,0,0,0,50,30005,31005,1,300005,"2020/05/28 11:00:00","2020/06/08 10:59:59",24001,0,4,24002,0,0,0,0
30006,"PICK UP扭蛋","新角色「镜华」登场！活动中出现率上升！",2,2,150,0,0,0,50,30006,31006,1,300006,"2020/06/08 11:00:00","2020/06/23 10:59:59",24001,0,5,24002,0,0,0,0
30007,"PICK UP扭蛋","新角色「美里」登场！活动中出现率上升！",2,2,150,0,0,0,50,30007,31007,1,300007,"2020/06/23 11:00:00","2020/07/06 10:59:59",24001,0,6,24002,0,0,0,0
30008,"PICK UP扭蛋","新角色「伊莉亚」登场！活动中出现率上升！",2,2,150,0,0,0,50,30008,31008,1,300008,"2020/07/06 11:00:00","2020/07/20 10:59:59",24001,0,7,24002,0,0,0,0
30009,"PICK UP扭蛋","新角色「纺希」登场！活动中出现率上升！",2,2,150,0,0,0,50,30009,31009,1,300009,"2020/07/20 11:00:00","2020/08/03 10:59:59",24001,0,8,24002,0,0,0,0
30010,"PICK UP扭蛋","限定「佩可莉姆」登场！活动中出现率上升！",2,2,150,0,0,0,50,30010,31010,1,300010,"2020/08/03 11:00:00","2020/08/18 10:59:59",24001,0,9,24002,0,0,0,0
30011,"PICK UP扭蛋","限定「铃莓」登场！出现率限时提升！",2,2,150,0,0,0,50,30011,31011,1,300011,"2020/08/18 11:00:00","2020/08/30 10:59:59",24001,0,10,24002,0,0,0,0
30012,"PICK UP扭蛋","限定「凯露」登场！出现率限时提升！",2,2,150,0,0,0,50,30012,31012,1,300012,"2020/08/30 11:00:00","2020/09/15 10:59:59",24001,0,11,24002,0,0,0,0
30014,"PICK UP扭蛋","新角色「智」登场！活动中出现率上升！",2,2,150,0,0,0,50,30014,31014,1,300014,"2020/09/28 09:00:00","2020/10/09 10:59:59",24001,0,13,24002,0,0,0,0
30015,"PICK UP扭蛋","新角色「茉莉」登场！活动中出现率上升！",2,2,150,0,0,0,50,30015,31015,1,300015,"2020/10/09 11:00:00","2020/10/16 10:59:59",24001,0,14,24002,0,0,0,0
40001,"夏日庆典特别扭蛋","3★角色出现率提升为2倍\n限定「珠希」登场！出现率限时提升！",2,2,150,0,0,0,50,40001,41001,1,400001,"2020/09/15 11:00:00","2020/09/28 08:59:59",24001,0,12,24002,0,0,0,0
60001,"新手冲刺扭蛋","新手冲刺扭蛋开启！",2,2,1500,0,0,0,50,60001,61001,1,200001,"2020/01/01 0:00:00","2099/12/31 23:59:59",24001,0,9999,0,0,0,0,0
70801,"★3必得白金扭蛋","★3必得白金扭蛋开启！",2,2,1500,0,0,0,50,70801,71801,1,200001,"2020/04/23 13:00:00","2020/04/29 12:59:59",24001,70801,1,0,0,0,0,0
70802,"★3必得白金扭蛋","★3必得白金扭蛋开启！",2,2,1500,0,0,0,50,70802,71802,1,200001,"2020/05/15 11:00:00","2020/05/20 12:59:59",24001,70802,3,0,0,0,0,0
70803,"★3必得白金扭蛋","★3必得白金扭蛋开启！",2,2,1500,0,0,0,50,70803,71803,1,200001,"2020/06/08 11:00:00","2020/06/13 12:59:59",24001,70803,5,0,0,0,0,0
70804,"★3必得白金扭蛋","★3必得白金扭蛋开启！",2,2,1500,0,0,0,50,70804,71804,1,200001,"2020/07/06 11:00:00","2020/07/11 12:59:59",24001,70804,7,0,0,0,0,0
70805,"★3必得白金扭蛋","★3必得白金扭蛋开启！",2,2,1500,0,0,0,50,70805,71805,1,200001,"2020/08/03 11:00:00","2020/08/08 12:59:59",24001,70805,9,0,0,0,0,0
70806,"★3必得白金扭蛋","★3必得白金扭蛋开启！",2,2,1500,0,0,0,50,70806,71806,1,200001,"2020/08/30 11:00:00","2020/09/04 12:59:59",24001,70806,11,0,0,0,0,0
70807,"★3必得白金扭蛋","★3必得白金扭蛋开启！",2,2,1500,0,0,0,50,70807,71807,1,200001,"2020/09/28 09:00:00","2020/10/03 12:59:59",24001,70807,13,0,0,0,0,0
