id,unit_id,event_id,condition_mission_id,top_description,description_1,description_2
12,108001,20005,72005021,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
13,111201,10025,71025031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
15,108201,10026,71026031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
16,111601,10029,71029031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
17,108501,10030,71030031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
18,112101,10031,71031031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
19,108901,10032,71032031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
20,112301,10033,71033031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
21,112601,10035,71035031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C405E]讨伐普通难度首领进行解锁吧！"
22,109001,10034,71034031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
24,109301,10039,71039031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
25,113001,10042,71042031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
26,110101,10043,71043031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
27,113201,10044,71044031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
28,113501,10046,71046031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
29,110501,10045,71045035,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
30,111201,10049,71049031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
31,114101,10050,71050031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
32,109801,10053,71053031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
33,114601,10054,71054033,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
34,111601,10055,71055031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
35,114701,10056,71056032,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
36,112101,10057,71057031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
37,115601,10058,71058032,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
38,112301,10060,71060031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
39,115801,10061,71061032,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
40,112601,10062,71062031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
