id,gacha_id,introduction_number,start_time,end_time,maximum_chunk_size_1,maximum_chunk_size_loop_1,maximum_chunk_size_2,maximum_chunk_size_loop_2,maximum_chunk_size_3,maximum_chunk_size_loop_3
74,30074,1,"2022/4/10  11:00:00","2022/4/17 10:59:59",380000,380000,0,0,0,0
75,30075,1,"2022/4/25  11:00:00","2022/4/30 10:59:59",380000,380000,0,0,0,0
76,30076,1,"2022/4/30  11:00:00","2022/5/10 10:59:59",380000,380000,0,0,0,0
77,30077,1,"2022/5/10  11:00:00","2022/5/15 10:59:59",380000,380000,0,0,0,0
78,30078,1,"2022/5/15  11:00:00","2022/5/31 10:59:59",380000,380000,0,0,0,0
79,50079,2,"2022/4/17  11:00:00","2022/4/20 17:59:59",380000,0,380000,380000,0,0
80,30080,1,"2022/5/31  11:00:00","2022/6/7 8:59:59",380000,380000,0,0,0,0
81,30081,1,"2022/6/7  9:00:00","2022/6/14 10:59:59",380000,380000,0,0,0,0
82,30082,1,"2022/6/14  11:00:00","2022/6/21 10:59:59",380000,380000,0,0,0,0
83,30083,1,"2022/6/21  11:00:00","2022/6/26 10:59:59",380000,380000,0,0,0,0
84,50084,2,"2022/6/26  11:00:00","2022/6/29 10:59:59",380000,0,380000,380000,0,0
85,30085,1,"2022/6/29  11:00:00","2022/7/8 10:59:59",380000,380000,0,0,0,0
86,30086,1,"2022/7/8  11:00:00","2022/7/13 10:59:59",380000,380000,0,0,0,0
87,30087,1,"2022/7/13  11:00:00","2022/7/21 10:59:59",380000,380000,0,0,0,0
88,30088,1,"2022/7/21  11:00:00","2022/7/27 10:59:59",380000,380000,0,0,0,0
89,30089,1,"2022/7/27  11:00:00","2022/7/31 10:59:59",380000,380000,0,0,0,0
90,30090,1,"2022/7/31  11:00:00","2022/8/10  10:59:59",380000,380000,0,0,0,0
91,30091,1,"2022/8/10  11:00:00","2022/8/15  10:59:59",380000,380000,0,0,0,0
92,40003,1,"2022/8/15  11:00:00","2022/8/26  10:59:59",380000,380000,0,0,0,0
93,30093,1,"2022/8/26  11:00:00","2022/8/31  10:59:59",380000,380000,0,0,0,0
94,50094,2,"2022/08/31 11:00:00","2022/09/03 17:59:59",380000,0,380000,380000,0,0
95,30095,1,"2022/09/03 18:00:00","2022/09/14 10:59:59",380000,380000,0,0,0,0
96,30096,1,"2022/09/14 11:00:00","2022/09/19 10:59:59",380000,380000,0,0,0,0
97,30097,1,"2022/09/19 11:00:00","2022/09/30 10:59:59",380000,380000,0,0,0,0
98,30098,1,"2022/09/30 11:00:00","2022/10/10 10:59:59",380000,380000,0,0,0,0
99,30099,1,"2022/10/10 11:00:00","2022/10/14 10:59:59",380000,380000,0,0,0,0
100,30100,1,"2022/10/14 11:00:00","2022/10/26 10:59:59",380000,380000,0,0,0,0
101,30101,1,"2022/10/26 11:00:00","2022/10/31 10:59:59",380000,380000,0,0,0,0
102,30102,1,"2022/10/31 11:00:00","2022/11/10 10:59:59",380000,380000,0,0,0,0
103,30103,1,"2022/11/10 11:00:00","2022/11/21 10:59:59",380000,380000,0,0,0,0
104,30104,1,"2022/11/21 11:00:00","2022/11/30 10:59:59",380000,380000,0,0,0,0
105,30105,1,"2022/11/30 11:00:00","2022/12/10 10:59:59",380000,380000,0,0,0,0
106,30106,1,"2022/12/10 11:00:00","2022/12/21 10:59:59",380000,380000,0,0,0,0
107,30107,1,"2022/12/21 11:00:00","2022/12/31 10:59:59",380000,380000,0,0,0,0
108,50108,2,"2022/12/31 11:00:00","2023/01/03 17:59:59",380000,0,380000,380000,0,0
109,30109,1,"2023/01/03 18:00:00","2023/01/12 10:59:59",380000,380000,0,0,0,0
110,30110,1,"2023/01/12 11:00:00","2023/01/17 10:59:59",380000,380000,0,0,0,0
111,30111,1,"2023/01/26 11:00:00","2023/01/31 10:59:59",380000,380000,0,0,0,0
112,30112,1,"2023/01/17 11:00:00","2023/01/26 10:59:59",380000,380000,0,0,0,0
113,30113,1,"2023/01/31 11:00:00","2023/02/10 10:59:59",380000,380000,0,0,0,0
114,30114,1,"2023/02/10 11:00:00","2023/02/15 10:59:59",380000,380000,0,0,0,0
115,40004,1,"2023/02/15 11:00:00","2023/02/23 10:59:59",380000,380000,0,0,0,0
116,30117,2,"2023/02/23 11:00:00","2023/02/28 10:59:59",380000,380000,380000,380000,0,0
117,50119,2,"2023/02/28 11:00:00","2023/03/03 17:59:59",380000,0,380000,380000,0,0
118,30120,1,"2023/03/03 18:00:00","2023/03/12 10:59:59",380000,380000,0,0,0,0
119,30121,1,"2023/03/08 11:00:00","2023/03/24 10:59:59",380000,380000,0,0,0,0
120,30122,1,"2023/03/12 11:00:00","2023/03/22 10:59:59",380000,380000,0,0,0,0
